Sigla,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Origem Cadastro,Origem Ano,Anais,Anais Link,GS Link,DBLP Link
CSNet,Cyber Security in Networking Conference,,,,,,Qualis 2017-2020,2021,,,,
CSOUND,International CSound Conference,,,,,,Qualis 2017-2020,2021,,,,
CTE,International Conference on Computational Thinking Education,,,,,,Qualis 2017-2020,2021,,,,
CTS,International Conference on Collaboration and Technology,,,,,,Qualis 2017-2020,2021,,,,
CVPR,IEEE Conference on Computer Vision and Pattern Recognition,,,,,,Qualis 2017-2020,2021,,,,
CVPRW,IEEE Conference on Computer Vision and Pattern Recognition Workshops,,,,,,Qualis 2017-2020,2021,,,,
CyberSA,"International Conference on Cyber Situational Awareness, Data Analytics and Assessment",,,,,,Qualis 2017-2020,2021,,,,
CyberSecurity,International Conference on Cyber Security And Protection Of Digital Services,,,,,,Qualis 2017-2020,2021,,,,
DAC,Design Automation Conference,,,,,,Qualis 2017-2020,2021,,,,
DAFX,International Conference on Digital Audio Effects,,,,,,Qualis 2017-2020,2021,,,,
DAMON,International Workshop on Data Management on New Hardware,,,,,,Qualis 2017-2020,2021,,,,
DARS,International Symposium on Distributed Autonomous Robotic Systems,,,,,,Qualis 2017-2020,2021,,,,
DASC,"IEEE International Conference on Dependable, Autonomic & Secure Computing",,,,,,Qualis 2017-2020,2021,,,,
DASFAA,International Conference on Database Systems for Advanced Applications,,,,,,Qualis 2017-2020,2021,,,,
DASIP,Conference on Design and Architectures for Signal and Image Processing,,,,,,Qualis 2017-2020,2021,,,,
DATA,"International Conference on Data Science, Technology and Applications",,,,,,Qualis 2017-2020,2021,,,,
DATAANALYTICS-IARIA,IARIA International Conference on Data Analytics,,,,,,Qualis 2017-2020,2021,,,,
DATE,"Design, Automation and Test in Europe Conference and Exhibition",,,,,,Qualis 2017-2020,2021,,,,
DAWAK,International Conference on Big Data Analytics and Knowledge Discovery,,,,,,Qualis 2017-2020,2021,,,,
DBKD-AIARIA,"IARIA International Conference on Advances in Databases, Knowledge, and Data Applications",,,,,,Qualis 2017-2020,2021,,,,
DBSec,IFIP WG 11.3 Conference on Data and Applications Security and Privacy,,,,,,Qualis 2017-2020,2021,,,,
DCAI,International Symposium on Distributed Computing and Artificial Intelligence,,,,,,Qualis 2017-2020,2021,,,,
DCASE,Workshop on Detection and Classification of Acoustic Scenes and Events,,,,,,Qualis 2017-2020,2021,,,,
DCC,Data Compression Conference,,,,,,Qualis 2017-2020,2021,,,,
DCOSS,International Conference on Distributed Computing in Sensor Systems,,,,,,Qualis 2017-2020,2021,,,,
DDECS,IEEE International Symposium on Design and Diagnostics of Electronic Circuits and Systems,,,,,,Qualis 2017-2020,2021,,,,
DEBS,International Conference on Distributed and Event-Based Systems,,,,,,Qualis 2017-2020,2021,,,,
DEPCOS,International Conference on Dependability and Complex Systems,,,,,,Qualis 2017-2020,2021,,,,
DESAFIE,Workshop de Desafios da Computação Aplicada à Educação,,,,,,Qualis 2017-2020,2021,,,,
DEXA,International Conference on Database and Expert Systems Applications,,,,,,Qualis 2017-2020,2021,,,,
DFT,IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems,,,,,,Qualis 2017-2020,2021,,,,
DGCI,Discrete Geometry for Computer Imagery,,,,,,Qualis 2017-2020,2021,,,,
DGO,Annual International Conference on Digital Government Research,,,,,,Qualis 2017-2020,2021,,,,
DH,Digital Heritage,,,,,,Qualis 2017-2020,2021,,,,
DIGRA,Digital Games Research Association International Conference,,,,,,Qualis 2017-2020,2021,,,,
DILS,International Conference on Data Integration in Life Sciences,,,,,,Qualis 2017-2020,2021,,,,
DIMVA,"International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",,,,,,Qualis 2017-2020,2021,,,,
DIS,Conference on Designing Interactive Systems,,,,,,Qualis 2017-2020,2021,,,,
DISC,International Symposium on Distributed Computing,,,,,,Qualis 2017-2020,2021,,,,
DIVANET,ACM Symposium on Development and Analysis of Intelligent Vehicular Networks and Applications,,,,,,Qualis 2017-2020,2021,,,,
DL,International Workshop on Description Logics,,,,,,Qualis 2017-2020,2021,,,,
DLS,Dynamic Languages Symposium,,,,,,Qualis 2017-2020,2021,,,,
DMA,International Conference on Data Mining and Applications,,,,,,Qualis 2017-2020,2021,,,,
DMSVIVA,International DMS Conference on Visualization and Visual Languages,,,,,,Qualis 2017-2020,2021,,,,
DOCENG,ACM Symposium on Document Engineering,,,,,,Qualis 2017-2020,2021,,,,
DOLAP,International Workshop On Data Warehousing and OLAP,,,,,,Qualis 2017-2020,2021,,,,
DPM,International Workshop on Data Privacy Management,,,,,,Qualis 2017-2020,2021,,,,
DRCN,International Conference on the Design of Reliable Communication Networks,,,,,,Qualis 2017-2020,2021,,,,
DS,International Conference on Discovery Science,,,,,,Qualis 2017-2020,2021,,,,
DS-RT,IEEE/ACM International Symposium on Distributed Simulation and Real-Time Applications,,,,,,Qualis 2017-2020,2021,,,,
DSAA,IEEE International Conference on Data Science and Advanced Analytics,,,,,,Qualis 2017-2020,2021,,,,
DSAI,International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion,,,,,,Qualis 2017-2020,2021,,,,
DSC,IEEE Conference on Dependable and Secure Computing,,,,,,Qualis 2017-2020,2021,,,,
DSD,"Euromicro Conference on Digital System Design, Architectures, Methods and Tools",,,,,,Qualis 2017-2020,2021,,,,
DSN,Annual IEEE/IFIP International Conference on Dependable Systems and Networks,,,,,,Qualis 2017-2020,2021,,,,
DSNW,IEEE International Conference on Dependable Systems and Networks Workshops,,,,,,Qualis 2017-2020,2021,,,,
DSP,International Conference on Digital Signal Processing,,,,,,Qualis 2017-2020,2021,,,,
DTIS,Design & Technology of Integrated Systems in Nanoscale Era,,,,,,Qualis 2017-2020,2021,,,,
DySPAN,IEEE Symposium on New Frontiers in Dynamic Spectrum Access Networks,,,,,,Qualis 2017-2020,2021,,,,
EACL,Conference of the European Chapter of the Association for Computational Linguistics,,,,,,Qualis 2017-2020,2021,,,,
EASE,International Conference on Evaluation and Assessment in Software Engineering,,,,,,Qualis 2017-2020,2021,,,,
EATIS,Euro American Conference on Telematics and Information Systems,,,,,,Qualis 2017-2020,2021,,,,
EC,ACM conference on Economics and Computation,,,,,,Qualis 2017-2020,2021,,,,
EC-TEL,European Conference on Technology Enhanced Learning,,,,,,Qualis 2017-2020,2021,,,,
ECAI,European Conference on Artificial Intelligence,,,,,,Qualis 2017-2020,2021,,,,
ECASE,IEEE/ACM International Workshop on Establishing the Community-Wide Infrastructure for Architecture-Based Software Engineering,,,,,,Qualis 2017-2020,2021,,,,
ECC,European Control Conference,,,,,,Qualis 2017-2020,2021,,,,
ECCTD,European Conference on Circuit Theory and Design,,,,,,Qualis 2017-2020,2021,,,,
ECCV,European Conference on Computer Vision,,,,,,Qualis 2017-2020,2021,,,,
ECIR,European Conference on Information Retrieval,,,,,,Qualis 2017-2020,2021,,,,
ECIS,European Conference on Information Systems,,,,,,Qualis 2017-2020,2021,,,,
ECML,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,,,,,,Qualis 2017-2020,2021,,,,
ECMR,European Conference on Mobile Robots,,,,,,Qualis 2017-2020,2021,,,,
ECMS,European Conference on Modelling and Simulation,,,,,,Qualis 2017-2020,2021,,,,
ECOOP,European Conference on Object-Oriented Programming,,,,,,Qualis 2017-2020,2021,,,,
ECRTS,Euromicro Conference on Real-Time Systems,,,,,,Qualis 2017-2020,2021,,,,
ECSA,European Conference on Software Architecture,,,,,,Qualis 2017-2020,2021,,,,
ECSCW,European Conference on Computer Supported Cooperative Work,,,,,,Qualis 2017-2020,2021,,,,
ECSQARU,European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty,,,,,,Qualis 2017-2020,2021,,,,
EDBT,International Conference on Extending Database Technology,,,,,,Qualis 2017-2020,2021,,,,
EDCC,European Dependable Computing Conference,,,,,,Qualis 2017-2020,2021,,,,
EDGE,International Conference on Edge Computing,,,,,,Qualis 2017-2020,2021,,,,
EDM,International Conference on Educational Data Mining,,,,,,Qualis 2017-2020,2021,,,,
EDOC,IEEE International Enterprise Distributed Object Computing Conference,,,,,,Qualis 2017-2020,2021,,,,
EDUCOMP,Simpósio Brasileiro de Educação em Computação,,,,,,Qualis 2017-2020,2021,,,,
EDUCON,IEEE Global Engineering Education Conference,,,,,,Qualis 2017-2020,2021,,,,
EECS,European Conference on Electrical Engineering and Computer Science,,,,,,Qualis 2017-2020,2021,,,,
EEEWC,"International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government",,,,,,Qualis 2017-2020,2021,,,,
EGOV,International Conference on Electronic Government,,,,,,Qualis 2017-2020,2021,,,,
EGOV-CEDEM-EPART,International Conference on Electronic Government/International Conference for E-Democracy and Open Government,,,,,,Qualis 2017-2020,2021,,,,
EGOVIS,International Conference on Electronic Government and the Information Systems Perspective,,,,,,Qualis 2017-2020,2021,,,,
EICS,ACM SIGCHI Symposium on Engineering Interactive Computing Systems,,,,,,Qualis 2017-2020,2021,,,,
EIT,International Conference on Electro Information Technology,,,,,,Qualis 2017-2020,2021,,,,
EJC,International Conference on Information Modeling and Knowledge,,,,,,Qualis 2017-2020,2021,,,,
EM-GIS,International Workshop on the Use of GIS in Emergency Management,,,,,,Qualis 2017-2020,2021,,,,
EMAS,International Workshop on Engineering Multiagent Systems,,,,,,Qualis 2017-2020,2021,,,,
EMBC,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,,,,,,Qualis 2017-2020,2021,,,,
EMBS,IEEE-EMBS International Conference on Biomedical and Health Informatics,,,,,,Qualis 2017-2020,2021,,,,
EMNLP,Conference on Empirical Methods in Natural Language Processing,,,,,,Qualis 2017-2020,2021,,,,
EMO,International Conference on Evolutionary Multi-Criterion Optimization,,,,,,Qualis 2017-2020,2021,,,,
EMSOFT,ACM International Conference on Embedded Software,,,,,,Qualis 2017-2020,2021,,,,
ENANPAD,Encontro Nacional da Associação Nacional de Pós-Graduação e Pesquisa em Administração,,,,,,Qualis 2017-2020,2021,,,,
ENASE,International Conference on Evaluation of Novel Approaches to Software Engineering,,,,,,Qualis 2017-2020,2021,,,,
ENCP,ACM CoNEXT Workshop on Emerging in-Network Computing Paradigms,,,,,,Qualis 2017-2020,2021,,,,
ENIAC,Encontro Nacional de Inteligencia Artificial e Computacional,,,,,,Qualis 2017-2020,2021,,,,
EPIA,Portuguese Conference on Artificial Intelligence,,,,,,Qualis 2017-2020,2021,,,,
ER,International Conference on Conceptual Modeling,,,,,,Qualis 2017-2020,2021,,,,
Ergodesign,Congresso Internacional de Ergonomia e Usabilidade de Interfaces Humano Tecnológica,,,,,,Qualis 2017-2020,2021,,,,
ESA,European Symposium on Algorithms,,,,CE-ACO Top10 2024,,Qualis 2017-2020,2021,,,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=sNtxnFuOq5YJ.2024,https://dblp.org/db/conf/esa/index.html
ESANN,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",,,,,,Qualis 2017-2020,2021,,,,
ESCIENCE,IEEE International Conference on e-Science,,,,,,Qualis 2017-2020,2021,,,,
ESELAW,Workshop Latinoamericano de Ingeniería de Software Experimental,,,,,,Qualis 2017-2020,2021,,,,
ESEM,ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,,,,,,Qualis 2017-2020,2021,,,,
ESOCC,European Conference on Service-Oriented and Cloud Computing,,,,,,Qualis 2017-2020,2021,,,,
ESOP,European Symposium on Programming,,,,,,Qualis 2017-2020,2021,,,,
ESORICS,European Symposium on Research in Computer Security,,,,,,Qualis 2017-2020,2021,,,,
ESSCIRC,European Solid State Circuits Conference,,,,,,Qualis 2017-2020,2021,,,,
ESSDERC,European Solid State Device Research Conference,,,,,,Qualis 2017-2020,2021,,,,
ESWC,Extended Semantic Web Conference,,,,,,Qualis 2017-2020,2021,,,,
ESWS,European Semantic Web Conference,,,,,,Qualis 2017-2020,2021,,,,
ETC,Encontro de Teoria da Computação,,,,,,Qualis 2017-2020,2021,,,,
ETFA,IEEE International Conference on Emerging Technologies and Factory Automation,,,,,,Qualis 2017-2020,2021,,,,
ETRA,ACM Symposium on Eye Tracking Research & Applications,,,,,,Qualis 2017-2020,2021,,,,
ETS,IEEE European Test Symposium,,,,,,Qualis 2017-2020,2021,,,,
EUC,IEEE/IFIP International Conferences on Embedded and Ubiquitous Computing,,,,,,Qualis 2017-2020,2021,,,,
EuCNC,European Conference on Networks and Communications,,,,,,Qualis 2017-2020,2021,,,,
EUMAS,European Conference on Multi-Agent Systems,,,,,,Qualis 2017-2020,2021,,,,
EURO,European Conference on Operational Research,,,,,,Qualis 2017-2020,2021,,,,
EUROCOMB,"European Conference on Combinatorics, Graph Theory and Applications",,,,,,Qualis 2017-2020,2021,,,,
EUROCRYPT,International Conference on Theory and Applications of Cryptographic Techniques,,,,,,Qualis 2017-2020,2021,,,,
EUROGRAPHICS,European Association for Computer Graphics,,,,,,Qualis 2017-2020,2021,,,,
EUROHAPTICS,Eurohaptics,,,,,,Qualis 2017-2020,2021,,,,
EuroMPI,European MPI Users Group Meeting,,,,,,Qualis 2017-2020,2021,,,,
EUROPAR,European Conference on Parallel Computing,,,,,,Qualis 2017-2020,2021,,,,
EuroPloP,European Conference on Pattern Languages of Programs,,,,,,Qualis 2017-2020,2021,,,,
EuroSPI,European Conference on Software Process Improvement,,,,,,Qualis 2017-2020,2021,,,,
EUROSYS,European Conference on Computer Systems,,,,,,Qualis 2017-2020,2021,,,,
EuroVis,EG/VGTC Conference on Visualization,,,,,,Qualis 2017-2020,2021,,,,
EUSFLAT,Conference of the European Society for Fuzzy Logic and Technology,,,,,,Qualis 2017-2020,2021,,,,
EUSIPCO,European Signal Processing Conference,,,,,,Qualis 2017-2020,2021,,,,
EVOAPPLICATIONS,European Conference on the Applications of Evolutionary Computation,,,,,,Qualis 2017-2020,2021,,,,
EVOCOP,European Conference on Evolutionary Computation in Combinatorial Optimization,,,,,,Qualis 2017-2020,2021,,,,
EWC,Embedded Word Conference,,,,,,Qualis 2017-2020,2021,,,,
EWSDN,European Workshop on Software Defined Networks,,,,,,Qualis 2017-2020,2021,,,,
EWSN,European Conference on Wireless Sensor Networks,,,,,,Qualis 2017-2020,2021,,,,
EXP.AT,Experiment@ International Conference,,,,,,Qualis 2017-2020,2021,,,,
FACS,International Conference on Formal Aspects of Component Software,,,,,,Qualis 2017-2020,2021,,,,
FASE,International Conference on Fundamental Approaches to Software Engineering,,,,,,Qualis 2017-2020,2021,,,,
FAST,USENIX Conference on File and Storage Technologies,,,,,,Qualis 2017-2020,2021,,,,
FC,International Conference on Financial Cryptography and Data Security,,,,,,Qualis 2017-2020,2021,,,,
FCCM,IEEE Annual International Symposium on Field-Programmable Custom Computing Machines,,,,,,Qualis 2017-2020,2021,,,,
FCT,International Symposium on Fundamentals of Computation Theory,,,,,,Qualis 2017-2020,2021,,,,
FCTA,International Conference on Fuzzy Computation Theory and Applications,,,,,,Qualis 2017-2020,2021,,,,
FDG,Foundations of Digital Games,,,,,,Qualis 2017-2020,2021,,,,
FDL,Forum on Specification and Design Languages,,,,,,Qualis 2017-2020,2021,,,,
FECS,International Conference on Frontiers in Education: Computer Science and Computer Engineering,,,,,,Qualis 2017-2020,2021,,,,
FEDCSIS,Federated Conference on Computer Science and Information Systems,,,,,,Qualis 2017-2020,2021,,,,
FGR,IEEE International Conference on Automatic Face and Gesture Recognition,,,,,,Qualis 2017-2020,2021,,,,
FiCloud,International Conference on Future Internet of Things and Cloud,,,,,,Qualis 2017-2020,2021,,,,
FIE,IEEE Frontiers in Education Conference,,,,,,Qualis 2017-2020,2021,,,,
FIT,International Conference on Forntiers of Information Technology,,,,,,Qualis 2017-2020,2021,,,,
FLAIRS,International Florida Artificial Intelligence Conference,,,,,,Qualis 2017-2020,2021,,,,
FLOPS,International Symposium on Functional and Logic Programming,,,,,,Qualis 2017-2020,2021,,,,
FM,International Symposium on Formal Methods,,,,,,Qualis 2017-2020,2021,,,,
FMCAD,International Conference on Formal Methods in Computer-Aided Design,,,,,,Qualis 2017-2020,2021,,,,
FOCS,IEEE Annual Symposium on Foundations of Computer Science,,,IEEE,CE-ACO Top10 2024,,Qualis 2017-2020,2021,,,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=QUcbc1kDDcEJ.2024,https://dblp.org/db/conf/focs/index.html
FOIS,International Conference on Formal Ontology in Information Systems,,,,,,Qualis 2017-2020,2021,,,,
FormaliSE,International Conference on Formal Methods in Software Engineering,,,,,,Qualis 2017-2020,2021,,,,
FOSD,International Workshop on Feature-Oriented Software Development,,,,,,Qualis 2017-2020,2021,,,,
FoSSaCS,International Conference on Foundations of Software Science and Computation Structures,,,,,,Qualis 2017-2020,2021,,,,
FPGA,Symposium on Field Programmable Gate Arrays,,,,,,Qualis 2017-2020,2021,,,,
FPL,International Conference on Field-Programmable Logic and Applications,,,,,,Qualis 2017-2020,2021,,,,
FPT,IEEE International Conference on Field-Programmable Technology,,,,,,Qualis 2017-2020,2021,,,,
FROCOS,International Symposium on Frontiers of Combining Systems,,,,,,Qualis 2017-2020,2021,,,,
FSCD,International Conference on Formal Structures for Computation and Deduction,,,,,,Qualis 2017-2020,2021,,,,
FSE,Fast Software Encryption,,,,,,Qualis 2017-2020,2021,,,,
FSE/ESEC,Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering,,,,,,Qualis 2017-2020,2021,,,,
FSEN,International Conference on Fundamentals of Software Engineering,,,,,,Qualis 2017-2020,2021,,,,
FSR,Conference on Field and Service Robotics,,,,,,Qualis 2017-2020,2021,,,,
FTC,Future Technologies Conference,,,,,,Qualis 2017-2020,2021,,,,
FUN,International Conference on Fun with Algorithms,,,,,,Qualis 2017-2020,2021,,,,
FUSION,International Conference on Information Fusion,,,,,,Qualis 2017-2020,2021,,,,
FUZZ,IEEE International Conference on Fuzzy Systems,,,,,,Qualis 2017-2020,2021,,,,
GameSec,Conference on Decision and Game Theory for Security,,,,,,Qualis 2017-2020,2021,,,,
GAS,International Workshop on Games and Software Engineering,,,,,,Qualis 2017-2020,2021,,,,
GbRPR,International Workshop on Graph-Based Representations in Pattern Recognition,,,,,,Qualis 2017-2020,2021,,,,
GECCO,Genetic and Evolutionary Computation Conference,,,,,,Qualis 2017-2020,2021,,,,
GECON,"International Conference on Economics of Grids, Clouds, Systems and Services",,,,,,Qualis 2017-2020,2021,,,,
GEFI,Global Experimentation for Future Internet,,,,,,Qualis 2017-2020,2021,,,,
GEM,"IEEE Games, Entertainment, Media Conference",,,,,,Qualis 2017-2020,2021,,,,
GeoAI,International Workshop on AI for Geographic Knowledge Discovery,,,,,,Qualis 2017-2020,2021,,,,
GEOBIA,Geographic Object-based Image Analysis,,,,,,Qualis 2017-2020,2021,,,,
GEOINFO,Brazilian Symposium on GeoInformatics,,,,,,Qualis 2017-2020,2021,,,,
GeoPROCESSING-IARIA,"IARIA International Conference on Advanced Geographic Information Systems, Applications, and Services",,,,,,Qualis 2017-2020,2021,,,,
GeoSim,International Workshop on Geospatial Simulation,,,,,,Qualis 2017-2020,2021,,,,
GI,Graphics Interface Conference,,,,,,Qualis 2017-2020,2021,,,,
GIIS,Global Information Infrastructure and Networking Symposium,,,,,,Qualis 2017-2020,2021,,,,
GIR,Workshop on Geographic Information Retrieval,,,,,,Qualis 2017-2020,2021,,,,
GIScience,International Conference on Geographic Information Science,,,,,,Qualis 2017-2020,2021,,,,
GLOBALSIP,Global Conference on Signal and Information Processing,,,,,,Qualis 2017-2020,2021,,,,
GLOBECOM,IEEE Global Communications Conference,,,,,,Qualis 2017-2020,2021,,,,
GLSVLSI,Great Lakes Symposium on VLSI,,,,,,Qualis 2017-2020,2021,,,,
GPC,International Conference on Grid And Pervasive Computing,,,,,,Qualis 2017-2020,2021,,,,
GPCE,ACM International Conference on Generative Programming: Concepts and Experiences,,,,,,Qualis 2017-2020,2021,,,,
GRAPP,International Conference on Computer Graphics Theory and Applications,,,,,,Qualis 2017-2020,2021,,,,
GreenCom,IEEE International Conference on Green Computing and Communications,,,,,,Qualis 2017-2020,2021,,,,
GROUP,International Conference on Supporting Group Work,,,,,,Qualis 2017-2020,2021,,,,
GVIZ,Workshop on New Directions in Geovisual Analytics,,,,,,Qualis 2017-2020,2021,,,,
GWN,International Global Wordnet Conference,,,,,,Qualis 2017-2020,2021,,,,
HAIS,International Conference on Hybrid Artificial Intelligence Systems,,,,,,Qualis 2017-2020,2021,,,,
HAPTICS,IEEE Haptics Symposium,,,,,,Qualis 2017-2020,2021,,,,
HASE,IEEE International Symposium on High Assurance Systems Engineering,,,,,,Qualis 2017-2020,2021,,,,
HCOMP,AAAI Conference on Human Computation and Crowdsourcing,,,,,,Qualis 2017-2020,2021,,,,
HCSE,International Conference on Human-Centered Software Engineering,,,,,,Qualis 2017-2020,2021,,,,
HEALTHCOM,"IEEE International Conference on E-health Networking, Application & Services",,,,,,Qualis 2017-2020,2021,,,,
HEALTHINF,International Conference on Health Informatics,,,,,,Qualis 2017-2020,2021,,,,
HEALTHINFO,"International Conference on Informatics and Assistive Technologies for Health-Care, Medical Support and Wellbeing",,,,,,Qualis 2017-2020,2021,,,,
HICSS,Hawaii International Conference on System Sciences,,,,,,Qualis 2017-2020,2021,,,,
HILDA,Workshop on Human-In-the-Loop Data Analytics,,,,,,Qualis 2017-2020,2021,,,,
HIMS,International Conference on Health Informatics and Medical Systems,,,,,,Qualis 2017-2020,2021,,,,
HIPC,IEEE International Conference on High Performance Computing,,,,,,Qualis 2017-2020,2021,,,,
HIS,International Conference on Hybrid Intelligent Systems,,,,,,Qualis 2017-2020,2021,,,,
HM,International Workshop on Hybrid Metaheuristics,,,,,,Qualis 2017-2020,2021,,,,
HOST,IEEE International Symposium on Hardware Oriented Security and Trust,,,,,,Qualis 2017-2020,2021,,,,
HOTNETS,ACM Workshop on Hot Topics in Networks,,,,,,Qualis 2017-2020,2021,,,,
HPCA,IEEE International Symposium on High Performance Computer Architecture,,,,,,Qualis 2017-2020,2021,,,,
HPCC,International Conference on High Performance Computing and Communications,,,,,,Qualis 2017-2020,2021,,,,
HPCS,International Conference on High Performance Computing & Simulation,,,,,,Qualis 2017-2020,2021,,,,
HPDC,International Symposium on High Performance Distributed Computing,,,,,,Qualis 2017-2020,2021,,,,
HPSR,IEEE High Performance Switching and Routing,,,,,,Qualis 2017-2020,2021,,,,
HRI,ACM/IEEE International Conference on Human Robot Interaction,,,,,,Qualis 2017-2020,2021,,,,
HS,Haskell Symposium,,,,,,Qualis 2017-2020,2021,,,,
HSCC,International Conference on Hybrid Systems: Computation and Control,,,,,,Qualis 2017-2020,2021,,,,
HT,ACM Conference on Hypertext and Social Media,,,,,,Qualis 2017-2020,2021,,,,
Humanoids,IEEE RAS International Conference on Humanoid Robot,,,,,,Qualis 2017-2020,2021,,,,
Hypertext,ACM Conference on Hypertext and Hypermedia,,,,,,Qualis 2017-2020,2021,,,,
i-SAIRAS,"International Symposium on Artificial Intelligence, Robotics and Automation in Space",,,,,,Qualis 2017-2020,2021,,,,
I/ITSEC,"Interservice/Industry Training, Simulation & Education Conference",,,,,,Qualis 2017-2020,2021,,,,
I2MTC,IEEE International Instrumentation and Measurement Technology Conference,,,,,,Qualis 2017-2020,2021,,,,
I3D,ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games,,,,,,Qualis 2017-2020,2021,,,,
IAAI,International Conference of the Italian Association for Artificial Intelligence,,,,,,Qualis 2017-2020,2021,,,,
IAS,Industry Applications Society Annual Meeting,,,,,,Qualis 2017-2020,2021,,,,
IAV,IFAC Symposium on Intelligent Autonomous Vehicles,,,,,,Qualis 2017-2020,2021,,,,
IBERAMIA,Ibero-American Conference on Artificial Intelligence,,,,,,Qualis 2017-2020,2021,,,,
IBERCHIP,Workshop Iberchip,,,,,,Qualis 2017-2020,2021,,,,
IC2E,IEEE International Conference on Cloud Engineering,,,,,,Qualis 2017-2020,2021,,,,
IC3K,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",,,,,,Qualis 2017-2020,2021,,,,
ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,,,,,,Qualis 2017-2020,2021,,,,
ICAART,International Conference on Agents and Artificial Intelligence,,,,,,Qualis 2017-2020,2021,,,,
ICAI,International Conference on Applied Informatics,,,,,,Qualis 2017-2020,2021,,,,
ICAISC,International Conference on Artificial Intelligence and Soft Computing,,,,,,Qualis 2017-2020,2021,,,,
ICAIWC,International Conference on Artificial Intelligence,,,,,,Qualis 2017-2020,2021,,,,
ICALP,"International Colloquium on Automata, Languages, and Programming",,,,CE-ACO Top10 2024,,Qualis 2017-2020,2021,,,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=-jyI22RzDikJ.2024,https://dblp.org/db/conf/icalp/index.html
ICALT,IEEE International Conference on Advanced Learning Technologies,,,,,,Qualis 2017-2020,2021,,,,
ICANN,International Conference on Artificial Neural Networks,,,,,,Qualis 2017-2020,2021,,,,
ICAPS,International Conference on Automated Planning and Scheduling,,,,,,Qualis 2017-2020,2021,,,,
ICAR,International Conference on Advanced Robotics,,,,,,Qualis 2017-2020,2021,,,,
ICARA,"International Conference on Automation, Robotics and Applications",,,,,,Qualis 2017-2020,2021,,,,
ICARM,International Conference on Advanced Robotics and Mechatronics,,,,,,Qualis 2017-2020,2021,,,,
ICAROB,International Conference on Artificial Life and Robotics,,,,,,Qualis 2017-2020,2021,,,,
ICARSC,IEEE International Conference on Autonomous Robot Systems and Competitions,,,,,,Qualis 2017-2020,2021,,,,
ICARV,"International Conference on Control, Automation, Robotics and Vision",,,,,,Qualis 2017-2020,2021,,,,
ICAS-IARIA,IARIA International Conference on Autonomic and Autonomous Systems,,,,,,Qualis 2017-2020,2021,,,,
ICASSP,"IEEE International Conference on Acoustics, Speech and Signal Processing",,,,,,Qualis 2017-2020,2021,,,,
ICB,International Conference on Biometrics,,,,,,Qualis 2017-2020,2021,,,,
ICBC,IEEE International Conference on Blockchain and Cryptocurrency,,,,,,Qualis 2017-2020,2021,,,,
ICBIP,International Conference on Biomedical Signal and Image Processing,,,,,,Qualis 2017-2020,2021,,,,
ICBK,International Conference on Big Knowledge,,,,,,Qualis 2017-2020,2021,,,,
ICBL,International Conference on Interactive Collaborative and Blended Learning,,,,,,Qualis 2017-2020,2021,,,,
ICC,IEEE International Conference on Communications,,,,,,Qualis 2017-2020,2021,,,,
ICCA,IEEE International Conference on Control and Automation,,,,,,Qualis 2017-2020,2021,,,,
ICCABS,International Conference on Computational Advances in Bio and Medical Sciences,,,,,,Qualis 2017-2020,2021,,,,
ICCAD,IEEE/ACM International Conference on Computer-Aided Design,,,,,,Qualis 2017-2020,2021,,,,
ICCAR,"International Conference on Control, Automation and Robotics",,,,,,Qualis 2017-2020,2021,,,,
ICCC,International Conference on Computational Creativity,,,,,,Qualis 2017-2020,2021,,,,
ICCCBE,International Conference on Computing in Civil and Building Engineering,,,,,,Qualis 2017-2020,2021,,,,
ICCCN,International Conference on Computer Communications and Networks,,,,,,Qualis 2017-2020,2021,,,,
ICCD,International Conference on Computer Design,,,,,,Qualis 2017-2020,2021,,,,
ICCDCS,"International Caribbean Conference on Devices, Circuits and Systems",,,,,,Qualis 2017-2020,2021,,,,
ICCE-EDU,International Conference on Computers in Education,,,,,,Qualis 2017-2020,2021,,,,
iCCECE,"International Conference on Computing, Electronics & Communications Engineering",,,,,,Qualis 2017-2020,2021,,,,
ICCHP,International Conference on Computers Helping People with Special Needs,,,,,,Qualis 2017-2020,2021,,,,
ICCL2,International Conference on Computational Logistics,,,,,,Qualis 2017-2020,2021,,,,
ICCP,IEEE International Conference on Intelligent Computer Communication and Processing,,,,,,Qualis 2017-2020,2021,,,,
