Sigla,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Anais,Anais Link,GS Link,DBLP Link
RECSYS,ACM Conference on Recommender Systems,,nan,,Recommended,CE-BD|CE-SI,,nan,4-w_STT7RmEJ,recsys
REFSQ,International Working Conference on Requirements Engineering: Foundations for Software Quality,,nan,,Recommended,CE-ES,,nan,VATFw1qhessJ,refsq
RICE,International Conference on Research in Intelligent and Computing in Engineering,,,,,,,,,
RITA,International Conference on Robot Intelligence Technology and Applications,,nan,,Recommended,CE-R,,nan,Tct1hCSnseoJ,
RO-MAN,IEEE International Symposium on Robot and Human Interactive Communication,,nan,,Top20,CE-IHC|CE-R,,nan,yHxohuW00noJ,ro-man
ROBIO,IEEE International Conference on Robotics and Biomimetics,,nan,,Top20,CE-R,,nan,bcF8fuNAeawJ,
ROBOCUP,Robocup International Symposium,,RoboCup - Robocup International Symposium|nan,,Top20,CE-R,,nan,KMzWyzFUAoQJ,
RoboSoft,IEEE International Conference on Soft Robotics,,nan,,Recommended,CE-R,,nan,ozuU4D3JRbUJ,
ROBOT,Iberian Robotics Conference,,,,,,,,,
RoMoCo,International Workshop on Robot Motion and Control,,nan,,Recommended,CE-R,,nan,a7sB4asTg0EJ,
ROOTS,Reversing and Offensive-Oriented Trends Symposium,,,,,,,,,
ROSE,IEEE International Symposium on Robotic and Sensors Environments,,nan,,Recommended,CE-R,,nan,,
RSP,IEEE International Symposium on Rapid System Prototyping,,nan,,Recommended,CE-ESC,,nan,,rsp
RSS,Robotics: Science and Systems,,nan,,Top10,CE-R|CE-RV,,nan,jl5pTV5Sh0AJ,rss
RTAS,IEEE REAL-TIME AND EMBEDDED TECHNOLOGY AND APPLICATIONS SYMPOSIUM,,nan,,Top10,CE-ESC,,nan,2YPqFanDRcAJ,rtas
RTCSA,International Conference on Embedded and Real-Time Computing Systems and Applications,,IEEE International Conference on Embedded and Real-Time Computing Systems and Applications,,Top20,CE-ESC,,nan,Mb3P41xz9HIJ,rtcsa
RTIS,International Conference on Real Time Intelligent Systems,,nan,,Recommended,CE-ESC,,nan,RIIA6l-Mlx0J,
RTSS,Real-Time Systems Symposium,,IEEE International Real-Time Systems Symposium,,Top10,CE-ESC,,nan,qvvrZOpbLHgJ,rtss
RuleML+RR,International Joint Conference on Rules and Reasoning,,,,,,,,,
S&P,IEEE Symposium on Security and Privacy,,nan,,Top10,CE-RESD|CE-SEG,,nan,cyrroHz3a0YJ,sp
SAC,ACM Symposium on Applied Computing,,ACM/SIGAPP Symposium On Applied Computing|International Conference on Selected Areas in Cryptography|nan,,Recommended,CE-BD|CE-ES|CE-IA|CE-IHC|CE-RV|CE-SEG|CE-SI|CE-WEBMEDIA,,nan,eLhWa3qzEDsJ,sac
SACI,IEEE International Symposium on Applied Computational Intelligence and Informatics,,nan,,Recommended,CE-IA,,nan,DBppmrSv3qgJ,saci
SACMAT,ACM Symposium on Access Control Models and Technologies,,nan,,Recommended,CE-SEG,,nan,9DZYftdOCUAJ,sacmat
SACRYPT,Workshop on Selected Areas in Cryptography,,,,,,,,,
SAFECOMP,"International Conference on Computer Safety, Reliability, and Security",,nan,,Recommended,CE-SEG,,nan,fWfpTei59DsJ,safecomp
SAMOS,"International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation",,"International Conference on Embedded Computer Systems|International Conference on Embedded Computer Systems: Architecture, Modeling and Informatics|nan",,Recommended,CE-CCI|CE-ESC,,nan,6GMyv-BpYgwJ,samos
SANER,"IEEE International Conference on Software Analysis, Evolution and Reengineering",,"International Conference on Software Analysis, Evolution, and Reengineering (SANER)",,Top10,CE-ES,,nan,KigRzjvnEC0J,wcre
SARNOFF,IEEE Sarnoff Symposium,,nan,,Recommended,CE-CCI,,nan,,sarnoff
