Sigla,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Anais,Anais Link,GS Link,DBLP Link
<Programming>,"International Conference on the Art, Science, and Engineering of Programming",,nan,,Recommended,CE-LP,,nan,,programming
3DOR,Eurographics Workshop on 3D Object Retrieval,,,,,,,,,
3DUI,IEEE Symposium on 3D User Interfaces,VR,IEEE Conference on Virtual Reality and 3D User Interfaces (IEEE VR)|nan,IEEE,Recommended,CE-IHC,,nan,,vr | 3dui
3DV,International Conference on 3D Vision,,nan,,Recommended,CE-GRAPI|CE-RV,,nan,_QeiDtrgUSoJ,3dim
3ICT,"International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies",,,,,,,,,
5GWF,IEEE 5G World Forum,,,,,,,,,
A-TEST,"International Workshop on Automating Test Case Design, Selection and Evaluation",,,,,,,,,
AAAI,AAAI Conference on Artificial Intelligence,,nan,,Recommended,CE-GRAPI|CE-IA|CE-IC|CE-PLN,,nan,PV9sQN5dnPsJ,aaai
AAMAS,International Conference on Autonomous Agents and Multiagent Systems,,nan,,Top10,CE-IA,,nan,yWxsQWGuQ-sJ,atal
ABZ,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",,nan,,Top20,CE-MF,,nan,P_bGcOzNXgIJ,
AC-IADIS,IADIS International Conference on Applied Computing,,,,,,,,,
ACC,American Control Conference,,nan,,Recommended,CE-R,,nan,tgZe9odv5lUJ,
ACCV,Asian Conference on Computer Vision,,nan,,Recommended,CE-GRAPI|CE-RV,,nan,C6G2a_KY88AJ,accv
ACE,International Conference on Advances in Computer Entertainment Technology,,The Australasian Computing Education Conference|nan,,Recommended,CE-EDUCOMP|CE-IHC,,nan,6Ym19ArjjigJ,ACMace
ACHI-IARIA,IARIA International Conference on Advances in Computer-Human Interactions,,,,,,,,,
ACII,International Conference on Affective Computing and Intelligent Interaction,,Affective Computing and Intelligent Interaction|nan,,Recommended,CE-IA|CE-IHC,,nan,n8TWwN8Kc5cJ,acii
ACIRS,Asia-Pacific Conference on Intelligent Robot Systems,,nan,,Recommended,CE-R,,nan,dQMJcSWIFtgJ,
ACISP,Australasian Conference on Information Security and Privacy,,nan,,Recommended,CE-SEG,,nan,o0S2wIvNbXEJ,acisp
ACIVS,Advanced Concepts for Intelligent Vision Systems,,nan,,Recommended,CE-GRAPI,,nan,,acivs
ACL,Annual Meeting of the Association for Computational Linguistics,,nan,,Recommended,CE-BD|CE-IA|CE-PLN,,nan,Y3UjV9bSCxMJ,acl
ACM CC,Creativity & Cognition,,nan,,Recommended,CE-IHC,,nan,fckQPrz_q_gJ,candc
ACM CHI PLAY,Annual Symposium on Computer-Human Interaction in Play,,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play|nan,,Top20,CE-IHC,,nan,WNLxUj5tg3gJ,chiplay
ACM IMX,ACM International Conference on Interactive Media Experiences,,nan,,Top10,CE-WEBMEDIA,,nan,DSB1DhJ431MJ,tvx
ACMIDC,ACM Internacional Conference on Interaction Design and Children,,,,,,,,,
ACMMM,ACM International Conference on Multimedia,,,,,,,,,
ACMSOCC,ACM Symposium on Cloud Computing,,nan,,Recommended,CE-RESD,,nan,o1durVJyeP4J,cloud
ACNS,Applied Cryptography and Network Security,,nan,,Top20,CE-SEG,,nan,uX6tRrNG0lQJ,acns
ACRA,Australasian Conference on Robotics and Automation,,nan,,Recommended,CE-R,,nan,,
ACSAC,Computer Security Applications Conference,,nan,,Top20,CE-SEG,,nan,88oopSfS28MJ,acsac
ADBIS,East European Conference on Advances in Databases and Information Systems,,Advances in Databases and Information Systems|European Conference on Advances in Databases and Information Systems|nan,,Top20,CE-BD|CE-SI,,nan,pEYfHFCSslcJ,adbis
ADHOC-NOW,International Conference on Ad-Hoc Networks and Wireless,,nan,,Recommended,CE-RESD,,nan,,adhoc-now
ADMS,International Workshop on Accelerating Analytics and Data Management Systems Using Modern Processor and Storage Architectures,,,,,,,,,
ADVANCE,International Workshop on Advances in ICT Infrastructures and Services,,,,,,,,,
AES,International Convention of the Audio Engineering Society,,nan,,Top20,CE-CM,,nan,,
AES-ICSA,AES International Conference on Semantic Audio,,nan,,Top20,CE-CM,,nan,,
AFRICACRYPT,International Conference on Cryptology in Africa,,,,,,,,,
AGILEGIS,Conference on Geographic Information Science,,,,,,,,,
AH,Augmented Human International Conference,,nan,,Recommended,CE-IHC|CE-RV,,nan,HqiGvACsawYJ,aughuman
AHS,NASA/ESA Conference on Adaptive Hardware and Systems,,,,,,,,,
AI,Canadian Conference on Artificial Intelligence,,,,,,,,,
AIC,International Workshop on Artificial Intelligence and Cognition,,,,,,,,,
AICCSA,ACS/IEEE International Conference on Computer Systems and Applications,,,,,,,,,
AICT,International Conference on Application of Information and Communication Technologies,,nan,,Recommended,CE-SI,,nan,lyn0_4ToR5cJ,aict
AICT-IARIA,IARIA Advanced International Conference on Telecommunications,,,,,,,,,
AIED,International Conference on Artificial Intelligence in Education,,Artificial Intelligence in Education|Artificial Intelligence in Education Conference|nan,,Recommended,CE-IA|CE-IE|CE-IHC,,nan,l2Fh9zgyJ3sJ,aied
AIES,"AAAI/ACM Conference on AI, Ethics, and Society",,,,,,,,,
AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,,nan,,Top10,CE-IA|CE-JOGOS,,nan,5m22OTMIZYcJ,aiide
AIM,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,,nan,,Recommended,CE-R,,nan,vvYv-MYYfD0J,
AIME,Conference on Artificial Intelligence in Medicine,,Artificial Intelligence in Medicine,,Top20,CE-CAS,,nan,G4epD5rVtawJ,aime
AIML,Advances in Modal Logic,,nan,,Top20,CE-L,,nan,,aiml
AIMS,"International Conference on Autonomous Infrastructure, Management and Security",,,,,,,,,
AINA,IEEE International Conference on Advanced Information Networking and Applications,,nan,,Recommended,CE-BD|CE-RESD|CE-TF,,nan,FBp6ksxIdQYJ,aina
AINAW,IEEE International Conference on Advanced Information Networking and Applications Workshops,,,,,,,,,
AIPR,Applied Imagery Pattern Recognition Workshop,,,,,,,,,
AISTATS,International Conference on Artificial Intelligence and Statistics,,nan,,Top20,CE-IA|CE-IC,,nan,PhcE9OLs0MUJ,aistats
AITest,IEEE International Conference On Artificial Intelligence Testing,,,,,,,,,
AITM,Conference on Advanced Information Technologies for Management,,,,,,,,,
AlCoB,International Conference on Algorithms for Computational Biology,,nan,,Top20,CE-BioComp,,nan,,
ALENEX,SIAM Symposium on Algorithm Engineering and Experiments,,nan,,Recommended,CE-ACO,,nan,,alenex
ALIO/EURO,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,,nan,,Recommended,CE-ACO,,nan,,
ALLERTON,"Allerton Conference on Communication, Control, and Computing",,nan,,Recommended,CE-RESD,,nan,HbOjoTJcHB8J,allerton
AMCIS,Americas Conference on Information Systems,,nan,,Top10,CE-SI,,nan,Z7jeczV8wooJ,amcis
AMD,Workshop on Analysis of Movement Data,,nan,,Recommended,CE-Geoinformatica,,nan,,
AMIA,Annual Symposium of the American Medical Informatics Association,,AMIA Symposium|American Medical Informatics Association Annual Symposium,,Top10,CE-CAS,,nan,MtRw20mokCYJ,amia
AMW,Alberto Mendelzon International Workshop on Foundations of Data Management,,nan,,Recommended,CE-BD,,nan,,amw
ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,,nan,,Recommended,CE-RESD,,nan,,ancs
ANPPOM,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,,nan,,Top20,CE-CM,,nan,,
ANSS,Annual Simulation Symposium,,,,,,,,,
ANT,"International Conference on Ambient Systems, Networks and Technologies",,,,,,,,,
ANTS,IEEE International Conference on Advanced Networks and Telecommuncations Systems,,,,,,,,,
APCCAS,IEEE Asia Pacific Conference on Circuits and Systems,,nan,,Recommended,CE-CCI,,nan,iPNrzhpu_IoJ,apccas
APKC,ACM on ASIA Public-Key Cryptography Workshop,,,,,,,,,
APLAS,Asian Symposium on Programming Languages and Systems,,nan,,Recommended,CE-LP,,nan,dHznF5bq130J,aplas
APNOMS,Asia-Pacific Network Operations and Management Symposium,,nan,,Recommended,CE-RESD,,nan,,apnoms
APPROX-RANDOM,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,,nan,,Top20,CE-ACO,,nan,M9oM2PGejDoJ,random
APWEB,Asia-Pacific Web Conference,,nan,,Recommended,CE-BD,,nan,,apweb
ARC,International Symposium on Applied Reconfigurable Computing,,Applied Reconfigurable Computing|nan,,Recommended,CE-CCI|CE-ESC,,nan,YfOo-Q2IJm8J,arc
ARCS,International Conference on Architecture of Computing Systems,,nan,,Recommended,CE-ACPAD|CE-ESC,,nan,0iDRKaj8G38J,arcs
ARES,"International Conference on Availability, Reliability and Security",,nan,,Top20,CE-SEG,,nan,GIrj2BSjfiwJ,IEEEares
ARIC,International Workshop on Intelligent and Resilient Cities,,nan,,Recommended,CE-Geoinformatica,,nan,,
ARM,Workshop on Adaptive and Reflective Middleware,,,,,,,,,
ARSO,IEEE Workshop on Advanced Robotics and its Social Impacts,,IEEE Workshop on Advanced Robotics and its Social Impacts (ARSO)|nan,,Recommended,CE-R,,nan,MHGPX0ifa6MJ,
ASAP,"IEEE International Conference on Application-specific Systems, Architectures and Processors",,nan,,Recommended,CE-ACPAD|CE-CCI|CE-ESC,,nan,8awDgn_OhGYJ,asap
ASE,IEEE/ACM International Conference on Automated Software Engineering,,IEEE/ACM International Conference on Automated Software Engineering (ASE),,Top10,CE-ES,,nan,0NzweKVXmpkJ,kbse
ASIACCS,"ACM ASIA Symposium on Information, Computer and Communications Security",,"ACM Symposium on Information, Computer and Communications Security|nan",,Top10,CE-SEG,,nan,3VLtGPwkq54J,asiaccs
ASIACRYPT,Annual International Conference on the Theory and Applications of Cryptology and Information Security,,International Conference on The Theory and Application of Cryptology and Information Security|nan,,Top10,CE-SEG,,nan,hxrvQsnJSDMJ,asiacrypt
ASID,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",,nan,,Recommended,CE-SEG,,nan,G0FddLwZFDcJ,
ASMS,Advanced Satellite Multimedia Systems Conference,,nan,,Recommended,CE-WEBMEDIA,,nan,O90WS0zZyBYJ,asms-spsc
ASONAM,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,,"International Conference on Advances in Social Networks Analysis and Mining|International Conference on Advances in Social Networks Analysis and Mining,|nan",,Recommended,CE-BD|CE-SI,,nan,71Q5CJZj-VYJ,asunam
ASP-DAC,Asia and South Pacific Design Automation Conference,,nan,,Top10,CE-CCI|CE-ESC,,nan,4OI7pMNBopQJ,aspdac
ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,,nan,,Recommended,CE-ACPAD|CE-ESC|CE-LP,,nan,KlkFB9T8yJEJ,asplos
ASPRS,Annual Conference and International Lidar Mapping Forum,,nan,,Recommended,CE-RV,,nan,,
ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,,nan,,Top10,CE-IE|CE-IHC,,nan,c5bgEi18VesJ,assets
AST,IEEE/ACM International Workshop on Automation of Software Testing,,nan,,Recommended,CE-ES,,nan,,ast
ASWEC,Australasian Software Engineering Conference,,,,,,,,,
ASYNC,IEEE International Symposium on Asynchronous Circuits and Systems,,IEEE International Symposium on Asynchronous Circuits and Systems|Symposium on Asynchronous Circuits and Systems,,Top20,CE-CCI,,nan,,async
ATC,USENIX Annual Technical Conference,,nan,,Recommended,CE-RESD,,nan,UoM6MOnWKE8J,atc
Atech,International Conference on Agreement Technologies,,,,,,,,,
ATS,Asian Test Symposium,,,,,,,,,
ATT,International Workshop on Agents in Traffic and Transportation,,,,,,,,,
AUDIOMOSTLY,Audio Mostly Conference,,nan,,Top20,CE-CM,,nan,,
AusDM,Australasian Data Mining Conference,,,,,,,,,
AVI,International Working Conference on Advanced Visual Interfaces,,Working Conference on Advanced Visual Interfaces|nan,,Recommended,CE-IHC|CE-RV,,nan,,avi
AVSS,IEEE International Conference on Advanced Video and Signal Based Surveillance,,IEEE International Conference on Advanced Video and Signal-Based Surveillance|nan,,Recommended,CE-GRAPI,,nan,lj8GV_9F0b8J,avss
BCB,"ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",,"ACM Conference on Bioinformatics, Computational Biology, and Health Informatics|nan",,Top10,CE-BioComp|CE-CAS,,nan,A0r8tJR7iaEJ,bcb
BCS-HCI,Conference of the British Computer Society Human Computer Interaction Specialist Group,,nan,,Recommended,CE-IHC,,nan,,bcshci
BDCAT,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",,,,,,,,,
BDCLOUD,International Conference on Big Data and Cloud Computing,,nan,,Recommended,CE-BD,,nan,,bdcloud
BENCH,"International Symposium on Benchmarking, Measuring and Optimization",,,,,,,,,
BESC,"International Conference on Behavior, Economic and Social Computing",,International Conference on Behavioural and Social Computing|nan,,Recommended,CE-SC,,nan,,
BIATA,Bioinformatics: from Algorithms to Applications,,nan,,Top20,CE-BioComp,,nan,,
BIBE,IEEE International Conference on BioInformatics and BioEngineering,,IEEE International Conference on Bioinformatics and Bioengineering|nan,,Top10,CE-BioComp,,nan,2QSZR8tX_koJ,
BIBM,IEEE International Conference on Bioinformatics and Biomedicine,,nan,,Top10,CE-BioComp,,nan,4m3nKpBBPt4J,
BICT,EAI International Conference on Bio-inspired Information an Communications Technologies,,,,,,,,,
BIGDATA,IEEE International Conference on Big Data,,IEEE International Conference on BigData|nan,,Recommended,CE-ACPAD|CE-BD,,nan,5qcbaE0D5owJ,bigdataconf
BigDataSE,IEEE International Conference On Big Data Science And Engineering,,nan,,Recommended,CE-BD,,nan,,bigdatase
BIGDATASERVICE,IEEE International Conference on Big Data Computing Service and Applications,,nan,,Recommended,CE-BD,,nan,,bigdataservice
BIGDSE,IEEE/ACM International Workshop on Big Data Software Engineering,,,,,,,,,
BigSpatial,ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data,,International Workshop on Analytics for Big Geospatial Data|nan,,Recommended,CE-Geoinformatica,,nan,,bigspatial-ws
BioCOMP-WC,International Conference on Bioinformatics & Computational Biology,,,,,,,,,
BioRob,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,,,,,,,,,
BIOSENSORS,World Congress on Biosensors,,,,,,,,,
BIS,International Conference on Business Information Systems,,BIS: Business Information Systems,,Recommended,CE-SI,,nan,qAXde7fvX5YJ,bis
BLACKSEACOM,IEEE International Black Sea Conference on Communications and Networking,,,,,,,,,
BLOCKCHAIN,IEEE International Conference on Blockchain,,nan,,Recommended,CE-RESD,,nan,DGN3r9u7HNQJ,blockchain2
BMEI,International Conference BioMedical Engineering and Informatics,,,,,,,,,
BMVC,British Machine Vision Conference,,nan,,Recommended,CE-GRAPI|CE-RV,,nan,T_DfB2ikUbwJ,bmvc
BPM,International Conference on Business Process Management,,nan,,Top10,CE-SI,,nan,0N6unYCR7HoJ,bpm
BPMS2,Workshop on Social and Human Aspects of Business Process Management,,nan,,Recommended,CE-SI,,nan,,bpm
BRACIS,Brazilian Conference on Intelligent Systems,,nan,,Top10,CE-IA|CE-IC,,https://sol.sbc.org.br/index.php/bracis/index,qXwIadFVNCsJ,bracis
BRAHUR,Brazilian Humanoid Robot Workshop,,,,,,,,,
BRAINS,"Blockchain, Robotics and AI for Networking Security Conference",,,,,,,,,
BRASERO,Brazilian Workshop on Service Robotics,,,,,,,,,
BRASNAM,Brazilian Workshop on Social Network Analysis and Mining,,Workshop Brasileiro de Análise de Redes Sociais e Mineração|nan,,Recommended,CE-BD|CE-PLN,,https://sol.sbc.org.br/index.php/brasnam,uCHdYLLURp0J,
BRESCI,Brazilian e-Science Workshop,,,,,,,,,
BSB,Brazilian Symposium on Bioinformatics,,nan,,Top20,CE-BioComp,,nan,,
BSN,IEEE-EMBS International Conference on Wearable and Implantable Body Sensor Networks,,IEEE-EMBS INTERNATIONAL CONFERENCE ON WEARABLE AND IMPLANTABLE BODY SENSOR NETWORKS|International Workshop on Wearable and Implantable Body Sensor Networks,,Top20,CE-CAS,,nan,L-flmcutX4sJ,bsn
BTAS,"IEEE International Conference on Biometrics: Theory, Applications, and Systems",,IEEE International Conference on Biometrics: Theory Applications and Systems|nan,,Recommended,CE-GRAPI,,nan,FetF6O7LEY8J,btas
C&T,International Conference on Communities and Technologies,,nan,,Top10,CE-SC,,nan,,
C4BIE,"International Workshop on Cloud for Business, Industry and Enterprises",,,,,,,,,
CAD,International CAD Conference,,,,,,,,,
CADE,International Conference on Automated Deduction,,,,,,,,,
CAIP,International Conference on Computer Analysis of Images and Patterns,,nan,,Top20,CE-GRAPI,,nan,,caip
CAISE,International Conference on Advanced Information Systems Engineering,,nan,,Recommended,CE-BD|CE-ES,,nan,5PSS5xHm_KwJ,caise
CALDAM,International Conference on Algorithms and Discrete Applied Mathematics,,nan,,Recommended,CE-ACO,,nan,oMZjQ-X5R1EJ,caldam
CAMAD,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks,,nan,,Recommended,CE-RESD,,nan,zsyVgJ0BX8MJ,camad
CANDAR,International Symposium on Computing and Networking,,,,,,,,,
CANS,International Conference on Cryptology and Network Security,,Cryptology and Network Security|nan,,Recommended,CE-SEG,,nan,q7kWOn3QmqYJ,cans
CAPSI,Conferência da Associação Portuguesa de Sistemas de Informação,,,,,,,,,
CARLA,Latin America High Performance Computing Conference,,,,,,,,,
CASA,Conference on Computer Animation and Social Agents,,International Conference on Computer Animation and Social Agents|nan,,Recommended,CE-GRAPI|CE-JOGOS,,nan,,ca
CASCON,Annual International Conference on Computer Science and Software Engineering,,,,,,,,,
CASE,IEEE Conference on Automation Science and Engineering,,nan,,Top10,CE-ESC|CE-R,,nan,iJOqTiZA0TgJ,case
CASES,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",,"Conference on Compilers, Architectures and Synthesis for Embedded Systems|nan",,Recommended,CE-ACPAD|CE-CCI|CE-LP,,nan,TEhiaki8604J,cases
CATA,International Conference on Computers and their Applications,,,,,,,,,
CATE,Computers and Advanced Technology in Education,,nan,,Recommended,CE-IE,,nan,,cate
CAV,International Conference on Computer Aided Verification,,nan,,Top10,CE-MF,,nan,qgBvh59sjMQJ,
CBA,Congresso Brasileiro de Automática,,nan,,Recommended,CE-RV,,nan,dV-L3bCgyPcJ,
CBEB,Congresso Brasileiro de Engenharia Biomédica,,nan,,Recommended,CE-CAS|CE-RV,,nan,,
CBI,IEEE Conference on Business Informatics,,nan,,Top20,CE-SI,,nan,EBKFsSXXhfYJ,cbi
CBIC,Congresso Brasileiro de Inteligência Computacional,,Brazilian Congress on Computational Intelligence|nan,,Recommended,CE-IA,,nan,,
CBIS,Congresso Brasileiro de Informática em Saúde,,nan,,Recommended,CE-CAS,,nan,,
CBMI,International Workshop on Content-Based Multimedia Indexing,,nan,,Recommended,CE-GRAPI|CE-WEBMEDIA,,nan,nZ1bm2kqGmUJ,cbmi
CBMS,International Symposium on Computer-Based Medical Systems,,IEEE International Symposium on Computer-Based Medical Systems|IEEE Symposium on Computer-Based Medical Systems|nan,,Top10,CE-BD|CE-CAS,,nan,cFvi1RZjX1gJ,cbms
CBS,IEEE International Conference on Cyborg and Bionic Systems,,Congresso Brasileiro de Sistemas|nan,,Recommended,CE-R|CE-SI,,nan,o5Mc40u6CcYJ,
CBSF,Congresso Brasileiro de Sistemas Fuzzy,,,,,,,,,
CBSoft,Brazilian Conference on Software: Theory and Practice,,Congresso Brasileiro de Software: Teoria e Prática (CBSoft),,Recommended,CE-ES,,https://sol.sbc.org.br/index.php/cbsoft,,
CBTMS,Congresso Brasileiro de Telemedicina e Telesaúde,,nan,,Recommended,CE-CAS,,nan,,
CC,International Conference on Compiler Construction,,nan,,Top10,CE-LP,,nan,,cc
CCC,IEEE Conference on Computational Complexity,,nan,,Top20,CE-ACO,,nan,VHvULLS5ORIJ,coco
CCCG,Canadian Conference on Computational Geometry,,,,,,,,,
CCECE,Canadian Conference on Electrical and Computer Engineering,,,,,,,,,
CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",,"IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing|nan",,Recommended,CE-ACPAD|CE-BD|CE-SI,,nan,_IeLSKDu4j0J,ccgrid
CCNC,Annual IEEE Consumer Communications & Networking Conference,,nan,,Recommended,CE-RESD,,nan,IzHKIKh35TsJ,ccnc
CCS,ACM Symposium on Computer and Communications Security,,nan,,Recommended,CE-RESD,,nan,Pg42P_rbavwJ,ccs
CCSI,Workshop on Core Computations on Spatial Information,,nan,,Recommended,CE-Geoinformatica,,nan,,
CDC,IEEE Conference on Decision and Control,,nan,,Recommended,CE-R,,nan,1dJxuEkKfpEJ,
CDH,International Conference on Digital Health,,,,,,,,,
CDVE,"International Conference on Cooperative Design, Visualization, and Engineering",,"CDVE - International Conference on Cooperative Design, Visualization, and Engineering|nan",,Top20,CE-SC,,nan,,
CEC,IEEE Congress on Evolutionary Computation,,nan,,Recommended,CE-GRAPI|CE-IA|CE-IC,,nan,ThxTsNVxvT8J,cec
CECC,Central European Cybersecurity Conference,,,,,,,,,
CELDA,Cognition and Exploratory Learning in Digital Age,,nan,,Recommended,CE-IE,,nan,,iadiscelda
CENTERIS,Conference on ENTERprise Information Systems,,International Conference on Enterprise Information Systems,,Recommended,CE-SI,,nan,,centeris
CESI,International Workshop on Conducting Empirical Studies in Industry,,,,,,,,,
CF,ACM International Conference on Computing Frontiers,,,,,,,,,
CGI,Computer Graphics International Conference,,nan,,Top20,CE-GRAPI,,nan,Eta5Rw7ikZgJ,cgi
CGO,International Symposium on Code Generation and Optimization,,nan,,Top10,CE-LP,,nan,ol9-bwToVWEJ,cgo
CHASE,International Workshop on Cooperative and Human Aspects of Software Engineering,,CHASE - International Workshop on Cooperative and Human Aspects of Software Engineering|nan,,Top20,CE-ES|CE-SC,,nan,,icse-chase
CHES,Conference on Cryptographic Hardware and Embedded Systems,,Workshop on Cryptographic Hardware and Embedded Systems|nan,,Recommended,CE-SEG,,nan,fxQZq2l4GcMJ.2019   (https://scholar.google.com/scholar?hl=pt-BR,ches
CHI,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,,ACM Conference on Human Factors in Computing Systems|CHI - ACM Conference on Human Factors in Computing Systems|nan,,Top10,CE-IHC|CE-RV|CE-SC,,nan,6NNnGOq9_mAJ,chi
CHIIR,Conference on Human Information Interaction and Retrieval,,nan,,Recommended,CE-BD,,nan,,chiir
CHIPlay,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,,ACM Annual Symposium on Computer-Human Interaction in Play|nan,,Top10,CE-JOGOS,,nan,,chiplay
CIAC,International Conference on Algorithms and Complexity,,nan,,Recommended,CE-ACO,,nan,3cSHcC5AA7QJ,ciac
CIARP,Iberoamerican Congress on Pattern Recognition,,nan,,Top20,CE-GRAPI,,nan,-G7ZDWMFougJ,ciarp
CIBCB,IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology,,IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology|nan,,Top10,CE-BioComp,,nan,ybNREko_Be0J,
CIbSE,Conferencia Iberoamericana de Software Engineering,,Iberoamerican Conference on Software Engineering,,Top20,CE-ES,,https://sol.sbc.org.br/index.php/cibse,Jh0oWyA5hnEJ,cibse
CIC,International Conference on Collaboration and Internet Computing,,ACM International Conference on Collaboration and Internet Computing|nan,,Top20,CE-SC,,nan,,
CICC,IEEE Custom Integrated Circuits Conference,,nan,,Recommended,CE-CCI,,nan,yHnzH6ndKgwJ,cicc
CICLING,International Conference on Intelligent Text Processing and Computational Linguistics,,nan,,Recommended,CE-PLN,,nan,,cicling
CIDI,Congresso Internacional de Design da Informação,,nan,,Recommended,CE-IHC,,nan,,
CIDM,Symposium on Computational Intelligence and Data Mining,,nan,,Recommended,CE-BD,,nan,,cidm
CIDR,Biennial Conference on Innovative Data Systems Research,,nan,,Top10,CE-BD,,nan,,cidr
CIG,IEEE Conference on Computational Intelligence and Games,,nan,,Recommended,CE-IA,,nan,HU8fT-f-Q8YJ,cig
CIKM,ACM International Conference on Information and Knowledge Management,,nan,,Top10,CE-BD|CE-SI,,nan,V-IMg2OTpU8J,cikm
CILAMCE,Iberian Latin American Congress on Computational Methods,,nan,,Recommended,CE-RV,,nan,lPvkMWc1mQ8J,
CISCI,"Conferencia Iberoamericana en Sistemas, Cibernética e Informática",,,,,,,,,
CISIS,"International Conference on Complex, Intelligent, and Software Intensive Systems",,,,,,,,,
CISTI,Iberian Conference on Information Systems and Technologies,,nan,,Recommended,CE-SI,,nan,8MjqfFw7-w4J,
CIT,IEEE International Conference on Computer and Information Technology,,nan,,Recommended,CE-SI,,nan,,cit
CITS,"International Conference on Computer, Information, and Telecommunication Systems",,nan,,Recommended,CE-RESD|CE-SI,,nan,FdZkG8N8jboJ,cits
CL,Corpus Linguistics Conference,,nan,,Top20,CE-PLN,,nan,,
CLAIO,Latin-Ibero-American Conference on Operations Research,,nan,,Recommended,CE-ACO,,nan,,
CLEF,Conference and Labs of the Evaluation Forum,,nan,,Recommended,CE-PLN,,nan,,clef
CLEI,Conferencia Latinoamericana de Informática,,Conferencia Latinoamericana En Informatica|Conferencia Latinoamericana En Informatica (CLEI)|Conferencia Latinoamericana de Informática / Conferencia Latinoamericana En Informatica|Latin American Computing Conference|nan,,Recommended,CE-BD|CE-ES|CE-IHC|CE-RV|CE-SI,,nan,ThEGj_a76ZUJ,clei
CLIHC,Latin American Conference on Human Computer Interaction,,nan,,Recommended,CE-IHC|CE-SC,,nan,zMtc1kMzzzIJ,clihc
CLOSER,International Conference on Cloud Computing and Services Science,,nan,,Top20,CE-ACPAD|CE-BD|CE-SI,,nan,hltkuBaF_uEJ,closer
CLOUD,IEEE International Conference on Cloud Computing,,nan,,Recommended,CE-BD|CE-SI,,nan,ioohKoS5imcJ,IEEEcloud
CloudCom,IEEE International Conference on Cloud Computing Technology and Science,,"IEEE International Conference on Cloud Computing, Technology and Science|nan",,Recommended,CE-ACPAD|CE-RESD|CE-SI,,nan,aNZ314HiR4YJ,cloudcom
CLOUDCOMPUTING-IARIA,"IARIA International Conference on Cloud Computing, GRIDs, and Virtualization",,,,,,,,,
CLOUDDB,IEEE International workshop on Cloud data management,,,,,,,,,
CloudNet,IEEE International Conference on Cloud Networking,,nan,,Recommended,CE-RESD|CE-SI,,nan,xDYTOighRhwJ,cloudnet
CLOUDTECH,International Conference on Cloud Computing Technologies and Applications,,nan,,Recommended,CE-SI,,nan,,cloudtech
CLUSTER,IEEE International Conference on Cluster Computing,,nan,,Recommended,CE-ACPAD,,nan,55hG19HkCfUJ,cluster
CMMR,International Symposium on Computer Music Multidisciplinary Research,,nan,,Top10,CE-CM,,nan,,
CMN,Congress on Numerical Methods in Engineering,,nan,,Recommended,CE-RV,,nan,,
CNMAC,Congresso Nacional de Matemática Aplicada e Computacional,,nan,SBMAC,CE-ACO Relevante 2024,CE-ACO,,nan,,
CNS,IEEE Conference on Communications and Network Security,,nan,,Recommended,CE-SEG,,nan,nZuTYevUj1wJ,cns
CNSM,International Conference on Network and Service Management,,nan,,Recommended,CE-RESD,,nan,D9Ngi53e3FUJ,cnsm
CoARCH,Workshop On Computing Techniques For Spatio-Temporal Data in Archaeology And Cultural Heritage,,nan,,Recommended,CE-Geoinformatica,,nan,,
COCOA,International Conference on Combinatorial Optimization and Applications,,nan,,Recommended,CE-ACO,,nan,xFmuhcLxNaUJ,cocoa
COCOON,International Computing and Combinatorics Conference,,nan,,Recommended,CE-ACO,,nan,nuQnbkFkrG0J,cocoon
CODASPY,ACM Conference on Data and Application Security and Privacy,,nan,,Recommended,CE-SEG,,nan,LWRwHw7mGBMJ,codaspy
CODES+ISS,IEEE/ACM/IFIP International Conference on Hardware/Software Codesign and System Synthesis,,,,,,,,,
COG,IEEE Conference on Games,,,,,,,,,
