Sigla,Ano Dados,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Origem Cadastro,Anais,SOL ID,GS ID,DBLP ID
APNOMS,2025.0,Asia-Pacific Network Operations and Management Symposium,APNOMS,Asia-Pacific Network Operations and Management Symposium,,Recommended,CE-RESD-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
APPROX-RANDOM,2025.0,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,APPROX-RANDOM,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,,Top20,CE-ACO-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
APWEB,2025.0,Asia-Pacific Web Conference,APWEB,Asia-Pacific Web Conference,,Recommended,CE-BD-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ARC,2025.0,International Symposium on Applied Reconfigurable Computing,ARC,Applied Reconfigurable Computing|International Symposium on Applied Reconfigurable Computing,,Recommended,CE-CCI-2024.ce.csv|CE-ESC-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ARCS,2025.0,International Conference on Architecture of Computing Systems,ARCS,International Conference on Architecture of Computing Systems,,Recommended,CE-ACPAD-2024.ce.csv|CE-ESC-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ARES,2025.0,"International Conference on Availability, Reliability and Security",ARES,"International Conference on Availability, Reliability and Security",,Top20,CE-SEG-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ARIC,2025.0,International Workshop on Intelligent and Resilient Cities,ARIC,International Workshop on Intelligent and Resilient Cities,,Recommended,CE-Geoinformatica-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ARM,2025.0,Workshop on Adaptive and Reflective Middleware,,,,,,Qualis 2017-2020,,,,
ARSO,2025.0,IEEE Workshop on Advanced Robotics and its Social Impacts,ARSO,IEEE Workshop on Advanced Robotics and its Social Impacts (ARSO),,Recommended,CE-R-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ASAP,2025.0,"IEEE International Conference on Application-specific Systems, Architectures and Processors",ASAP,"IEEE International Conference on Application-specific Systems, Architectures and Processors",,Recommended,CE-ACPAD-2024.ce.csv|CE-CCI-2024.ce.csv|CE-ESC-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ASE,2025.0,IEEE/ACM International Conference on Automated Software Engineering,ASE,IEEE/ACM International Conference on Automated Software Engineering|IEEE/ACM International Conference on Automated Software Engineering (ASE),,Top10,CE-ES-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ASIACCS,2025.0,"ACM ASIA Symposium on Information, Computer and Communications Security",ASIACCS,"ACM ASIA Symposium on Information, Computer and Communications Security|ACM Symposium on Information, Computer and Communications Security",,Top10,CE-SEG-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ASIACRYPT,2025.0,Annual International Conference on the Theory and Applications of Cryptology and Information Security,ASIACRYPT,Annual International Conference on the Theory and Applications of Cryptology and Information Security|International Conference on The Theory and Application of Cryptology and Information Security,,Top10,CE-SEG-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ASID,2025.0,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",ASID,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",,Recommended,CE-SEG-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ASMS,2025.0,Advanced Satellite Multimedia Systems Conference,ASMS,Advanced Satellite Multimedia Systems Conference,,Recommended,CE-WEBMEDIA-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ASONAM,2025.0,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM,"IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining|International Conference on Advances in Social Networks Analysis and Mining|International Conference on Advances in Social Networks Analysis and Mining,",,Recommended,CE-BD-2024.ce.csv|CE-SI-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ASP-DAC,2025.0,Asia and South Pacific Design Automation Conference,ASP-DAC,Asia and South Pacific Design Automation Conference|Asia and South Pacific Design Automation Conference ,,Top10,CE-CCI-2024.ce.csv|CE-ESC-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ASPLOS,2025.0,International Conference on Architectural Support for Programming Languages and Operating Systems,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,,Top10,CE-ACPAD-2024.ce.csv|CE-ESC-2024.ce.csv|CE-LP-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ASPRS,2025.0,Annual Conference and International Lidar Mapping Forum,ASPRS,Annual Conference and International Lidar Mapping Forum,,Recommended,CE-RV-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ASSETS,2025.0,International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS|Assets,International ACM Conference on Assistive Technologies|International ACM Conference on Assistive Technologies (Assets)|International ACM SIGACCESS Conference on Computers and Accessibility|International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS),,Top10,CE-IE-2024.ce.csv|CE-IHC-2024.ce.csv|CE-RV-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AST,2025.0,IEEE/ACM International Workshop on Automation of Software Testing,AST,IEEE/ACM International Workshop on Automation of Software Testing,,Recommended,CE-ES-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ASWEC,2025.0,Australasian Software Engineering Conference,,,,,,Qualis 2017-2020,,,,
ASYNC,2025.0,IEEE International Symposium on Asynchronous Circuits and Systems,ASYNC,IEEE International Symposium on Asynchronous Circuits and Systems|International Symposium on Asynchronous Circuits and Systems|Symposium on Asynchronous Circuits and Systems,,Top20,CE-CCI-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ATC,2025.0,USENIX Annual Technical Conference,ATC,USENIX Annual Technical Conference,,Recommended,CE-RESD-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
Atech,2025.0,International Conference on Agreement Technologies,,,,,,Qualis 2017-2020,,,,
ATS,2025.0,Asian Test Symposium,,,,,,Qualis 2017-2020,,,,
ATT,2025.0,International Workshop on Agents in Traffic and Transportation,,,,,,Qualis 2017-2020,,,,
AUDIOMOSTLY,2025.0,Audio Mostly Conference,AUDIOMOSTLY,Audio Mostly Conference,,Top20,CE-CM-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AusDM,2025.0,Australasian Data Mining Conference,,,,,,Qualis 2017-2020,,,,
AVI,2025.0,International Working Conference on Advanced Visual Interfaces,AVI,Working Conference on Advanced Visual Interfaces|Working Conference on Advanced Visual Interfaces ,,Top20,CE-IHC-2024.ce.csv|CE-RV-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AVSS,2025.0,IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,IEEE International Conference on Advanced Video and Signal-Based Surveillance,,Recommended,CE-GRAPI-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
BCB,2025.0,"ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",BCB,"ACM Conference on Bioinformatics, Computational Biology, and Health Informatics",,Top10,CE-BioComp-2024.ce.csv|CE-CAS-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
BCS-HCI,2025.0,Conference of the British Computer Society Human Computer Interaction Specialist Group,BCS-HCI,Conference of the British Computer Society Human Computer Interaction Specialist Group,,Recommended,CE-IHC-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
BDCAT,2025.0,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",,,,,,Qualis 2017-2020,,,,
BDCLOUD,2025.0,International Conference on Big Data and Cloud Computing,BDCLOUD,International Conference on Big Data and Cloud Computing,,Recommended,CE-BD-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
BENCH,2025.0,"International Symposium on Benchmarking, Measuring and Optimization",,,,,,Qualis 2017-2020,,,,
BESC,2025.0,"International Conference on Behavior, Economic and Social Computing",BESC, International Conference on Behavioural and Social Computing,,Recommended,CE-SC-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
BIATA,2025.0,Bioinformatics: from Algorithms to Applications,BIATA,Bioinformatics: from Algorithms to Applications,,Top20,CE-BioComp-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
BIBE,2025.0,IEEE International Conference on BioInformatics and BioEngineering,BIBE,IEEE International Conference on Bioinformatics and Bioengineering,,Top10,CE-BioComp-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
BIBM,2025.0,IEEE International Conference on Bioinformatics and Biomedicine,BIBM,IEEE International Conference on Bioinformatics and Biomedicine,,Top10,CE-BioComp-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
