comp_id,sigla,nome,siglas_alt,nomes_alt,origem,avaliacao,gs_id,dblp_id,sociedade,ano_dados
CompID900347,ECAI,European Conference on Artificial Intelligence,ECAI,European Conference on Artificial Intelligence,Qualis 2017-2020|SBC CE-2024,Top20,ryLBm7fgHNMJ.2024,ecai,,2025.0
CompID900348,ECASE,IEEE/ACM International Workshop on Establishing the Community-Wide Infrastructure for Architecture-Based Software Engineering,,,Qualis 2017-2020,,,,,2025.0
CompID900349,ECC,European Control Conference,ECC,European Control Conference,Qualis 2017-2020|SBC CE-2024,Recommended,uyMX5yvvkyoJ.2020,,,2025.0
CompID900350,ECCTD,European Conference on Circuit Theory and Design,ECCTD,European Conference on Circuit Theory and Design,Qualis 2017-2020|SBC CE-2024,Recommended,,ecctd,,2025.0
CompID900351,ECCV,European Conference on Computer Vision,ECCV,European Conference on Computer Vision,Qualis 2017-2020|SBC CE-2024,Recommended,cwIh2C-xo8kJ.2024,eccv,,2025.0
CompID900352,ECIR,European Conference on Information Retrieval,ECIR,European Conference on Information Retrieval,Qualis 2017-2020|SBC CE-2024,Recommended,,ecir,,2025.0
CompID900353,ECIS,European Conference on Information Systems,ECIS,European Conference on Information Systems,Qualis 2017-2020|SBC CE-2024,Top10,dF8xpB0_PnwJ.2024,ecis,,2025.0
CompID900354,ECML,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,ECML,European Conference on Machine Learning and Knowledge Discovery in Databases|European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,Qualis 2017-2020|SBC CE-2024,Top10,B_DfwWWmEnMJ.2024,ecml,,2025.0
CompID900355,ECMR,European Conference on Mobile Robots,ECMR,European Conference on Mobile Robots,Qualis 2017-2020|SBC CE-2024,Top20,E-Dt3HzExLsJ.2020,,,2025.0
CompID900356,ECMS,European Conference on Modelling and Simulation,,,Qualis 2017-2020,,,,,2025.0
CompID900357,ECOOP,European Conference on Object-Oriented Programming,ECOOP,European Conference on Object-Oriented Programming|European Conference on Object-oriented Programming (ECOOP),Qualis 2017-2020|SBC CE-2024,Top10,QHz4g2YxOYgJ.2024,ecoop,,2025.0
CompID900358,ECRTS,Euromicro Conference on Real-Time Systems,ECRTS,Euromicro Conference on Real-Time Systems,Qualis 2017-2020|SBC CE-2024,Top10,TjHsSEvIdkIJ.2024,ecrts,,2025.0
CompID900359,ECSA,European Conference on Software Architecture,ECSA,European Conference on Software Architecture,Qualis 2017-2020|SBC CE-2024,Recommended,hbCKVuECYrEJ.2024,ecsa,,2025.0
CompID900360,ECSCW,European Conference on Computer Supported Cooperative Work,ECSCW,ECSCW - European Conference on Computer Supported Cooperative Work (https://dblp.org/db/conf/ecscw/index.html),Qualis 2017-2020|SBC CE-2024,Top10,,,,2025.0
CompID900361,ECSQARU,European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty,ECSQARU,European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty,Qualis 2017-2020|SBC CE-2024,Recommended,NPzpQ2AW63QJ.2024,ecsqaru,,2025.0
CompID900362,EDBT,International Conference on Extending Database Technology,EDBT,International Conference on Extending Database Technology,Qualis 2017-2020|SBC CE-2024,Top10,,edbt,,2025.0
CompID900363,EDCC,European Dependable Computing Conference,EDCC,European Dependable Computing Conference,Qualis 2017-2020|SBC CE-2024,Top20,YcdY4WsTx_sJ.2024,edcc,,2025.0
CompID900364,EDGE,International Conference on Edge Computing,,,Qualis 2017-2020,,,,,2025.0
CompID900365,EDM,International Conference on Educational Data Mining,EDM,International Conference on Educational Data Mining,Qualis 2017-2020|SBC CE-2024,Top10,omHmP0TWqbUJ.2024,edm,,2025.0
CompID900366,EDOC,IEEE International Enterprise Distributed Object Computing Conference,EDOC,"Enterprise Design, Operations and Computing|International IEEE Enterprise Distributed Object Computing Conference",Qualis 2017-2020|SBC CE-2024,Recommended,HYNXXKncPYAJ.2024,edoc,,2025.0
CompID900367,EDUCOMP,Simpósio Brasileiro de Educação em Computação,EDUCOMP|EduComp,Simpósio Brasileiro de Educação em Computação,Qualis 2017-2020|SBC CE-2024,Top10,9d69RZLoOs8J.2024,,,2025.0
CompID900368,EDUCON,IEEE Global Engineering Education Conference,EDUCON,IEEE Education Engineering|IEEE Global Engineering Education Conference,Qualis 2017-2020|SBC CE-2024,Top10,oWx0DwbR58MJ.2024,educon,,2025.0
CompID900369,EECS,European Conference on Electrical Engineering and Computer Science,,,Qualis 2017-2020,,,,,2025.0
CompID900370,EEEWC,"International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government",,,Qualis 2017-2020,,,,,2025.0
CompID900371,EGOV,International Conference on Electronic Government,EGOV,IFIP WG 8.5 International Conference on Electronic Government|International Conference on Electronic Government,Qualis 2017-2020|SBC CE-2024,Top10,UF-KqO2gwjoJ.2024,egov,,2025.0
CompID900372,EGOV-CEDEM-EPART,International Conference on Electronic Government/International Conference for E-Democracy and Open Government,,,Qualis 2017-2020,,,,,2025.0
CompID900373,EGOVIS,International Conference on Electronic Government and the Information Systems Perspective,EGOVIS,Electronic Government and the Information Systems Perspective,Qualis 2017-2020|SBC CE-2024,Recommended,,egovis,,2025.0
CompID900374,EICS,ACM SIGCHI Symposium on Engineering Interactive Computing Systems,EICS,ACM SIGCHI Symposium on Engineering Interactive Computing Systems|Engineering Interactive Computing Systems,Qualis 2017-2020|SBC CE-2024,Top20,,eics,,2025.0
CompID900375,EIT,International Conference on Electro Information Technology,,,Qualis 2017-2020,,,,,2025.0
CompID900376,EJC,International Conference on Information Modeling and Knowledge,EJC,International Conference on Information Modeling and Knowledge,Qualis 2017-2020|SBC CE-2024,Recommended,,ejc,,2025.0
CompID900377,EM-GIS,International Workshop on the Use of GIS in Emergency Management,EM-GIS,International Workshop on the Use of GIS in Emergency Management,Qualis 2017-2020|SBC CE-2024,Recommended,,,,2025.0
CompID900378,EMAS,International Workshop on Engineering Multiagent Systems,,,Qualis 2017-2020,,,,,2025.0
CompID900379,EMBC,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,EMBC,"International Conference of the IEEE Engineering in Medicine and Biology Society|International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC",Qualis 2017-2020|SBC CE-2024,Top10,la0gAKbHmIkJ.2024,embc,,2025.0
CompID900380,BHI,International Conference on Biomedical and Health Informatics,BHI|EMBS|EMBS,IEEE EMBS International Conference on Biomedical and Health Informatics|International Conference on Biomedical and Health Informatics|IEEE-EMBS International Conference on Biomedical and Health Informatics,Qualis 2017-2020|SBC CE-2024,Top10,BgO65-j_oeEJ.2024,bhi,,2025.0
CompID900381,EMNLP,Conference on Empirical Methods in Natural Language Processing,EMNLP,Conference on Empirical Methods in Natural Language Processing,Qualis 2017-2020|SBC CE-2024,Top10,LqrQjvOguiMJ.2024,emnlp,,2025.0
CompID900382,EMO,International Conference on Evolutionary Multi-Criterion Optimization,,,Qualis 2017-2020,,,,,2025.0
CompID900383,EMSOFT,ACM International Conference on Embedded Software,,,Qualis 2017-2020,,,,,2025.0
CompID900384,ENANPAD,Encontro Nacional da Associação Nacional de Pós-Graduação e Pesquisa em Administração,ENANPAD,Encontro Nacional da Associação Nacional de Pós-Graduação e Pesquisa em Administração|Encontro da Associação Nacional de Pós-Graduação e Pesquisa em Administração,Qualis 2017-2020|SBC CE-2024,Recommended,,,,2025.0
CompID900385,ENASE,International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE,Evaluation of Novel Approaches to Software Engineering|Evaluation of Novel Approaches to Software Engineering (ENASE),Qualis 2017-2020|SBC CE-2024,Recommended,Q2z8twK6gqAJ.2024,enase,,2025.0
CompID900386,ENCP,ACM CoNEXT Workshop on Emerging in-Network Computing Paradigms,,,Qualis 2017-2020,,,,,2025.0
CompID900387,ENIAC,Encontro Nacional de Inteligencia Artificial e Computacional,ENIAC,Encontro Nacional de Inteligência Artificial e Computacional,Qualis 2017-2020|SBC CE-2024,Top10,DoEKONL9f1YJ.2024,,,2025.0
CompID900388,EPIA,Portuguese Conference on Artificial Intelligence,EPIA,Portuguese Conference on Artificial Intelligence|Portuguese Conference on Artificial Intelligence ,Qualis 2017-2020|SBC CE-2024,Recommended,SDrbTPLn2T0J.2024,epia,,2025.0
CompID900389,ER,International Conference on Conceptual Modeling,ER,International Conference on Conceptual Modeling,Qualis 2017-2020|SBC CE-2024,Top10,wB6WaEpFlvgJ.2024,er,,2025.0
CompID900390,Ergodesign,Congresso Internacional de Ergonomia e Usabilidade de Interfaces Humano Tecnológica,,,Qualis 2017-2020,,,,,2025.0
CompID900391,ESA,European Symposium on Algorithms,ESA,European Symposium on Algorithms,Qualis 2017-2020|SBC CE-2024,Top10,sNtxnFuOq5YJ.2024,esa,,2025.0
CompID900392,ESANN,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",ESANN,European Symposium on Artificial Neural Networks,Qualis 2017-2020|SBC CE-2024,Recommended,G2W6LcMuSNwJ.2024,esann,,2025.0
CompID900393,ESCIENCE,IEEE International Conference on e-Science,ESCIENCE|eScience,IEEE International Conference on e-Science|IEEE eScience International Conference,Qualis 2017-2020|SBC CE-2024,Top10,,eScience,,2025.0
CompID900394,ESELAW,Workshop Latinoamericano de Ingeniería de Software Experimental,,,Qualis 2017-2020,,,,,2025.0
CompID900395,ESEM,ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,ESEM,"ACM/IEEE International Symposium on Empirical Software Engineering and Measurement|International Symposium on Empirical Software Engineering and Measurement, ESEM",Qualis 2017-2020|SBC CE-2024,Recommended,TWG2GULnchAJ.2024,esem,,2025.0
CompID900396,ESOCC,European Conference on Service-Oriented and Cloud Computing,,,Qualis 2017-2020,,,,,2025.0
CompID900397,ESOP,European Symposium on Programming,ESOP,European Symposium on Programming,Qualis 2017-2020|SBC CE-2024,Top10,UtpXAOWmk9EJ.2024,esop,,2025.0
CompID900398,ESORICS,European Symposium on Research in Computer Security,,,Qualis 2017-2020,,,,,2025.0
CompID900399,ESSCIRC,European Solid State Circuits Conference,ESSCIRC,European Solid State Circuits Conference,Qualis 2017-2020|SBC CE-2024,Recommended,rIvU5DZe6gMJ.2024,esscirc,,2025.0
CompID900400,ESSDERC,European Solid State Device Research Conference,ESSDERC,European Solid State Device Research Conference,Qualis 2017-2020|SBC CE-2024,Recommended,u1sD_y1HdVYJ.2024,essderc,,2025.0
CompID900401,ESWC,Extended Semantic Web Conference,ESWC,European Semantic Web Conference|Extended Semantic Web Conference,Qualis 2017-2020|SBC CE-2024,Recommended,AETH84_wOIQJ.2024,esws,,2025.0
CompID900402,ESWS,European Semantic Web Conference,ESWS,Extended Semantic Web Conference,Qualis 2017-2020|SBC CE-2024,Top20,mf0MeYwvqwoJ.2024,esws,,2025.0
CompID900403,ETC,Encontro de Teoria da Computação,ETC,Encontro de Teoria da Computação,Qualis 2017-2020|SBC CE-2024,Recommended,S-FAvH1rAgcJ.2024,,,2025.0
CompID900404,ETFA,IEEE International Conference on Emerging Technologies and Factory Automation,ETFA,IEEE Conference on Emerging Technologies & Factory Automation (ETFA)|IEEE International Conference on Emerging Technologies and Factory Automation,Qualis 2017-2020|SBC CE-2024,Top20,oGDa9y0RKw8J.2020,,,2025.0
CompID900405,ETRA,ACM Symposium on Eye Tracking Research & Applications,,,Qualis 2017-2020,,,,,2025.0
CompID900406,ETS,IEEE European Test Symposium,ETS,IEEE European Test Symposium,Qualis 2017-2020|SBC CE-2024,Recommended,t9W1EjUjQrMJ.2024,ets,,2025.0
CompID900407,EUC,IEEE/IFIP International Conferences on Embedded and Ubiquitous Computing,EUC,IEEE/IFIP International Conferences on Embedded and Ubiquitous Computing,Qualis 2017-2020|SBC CE-2024,Recommended,,euc,,2025.0
CompID900408,EuCNC,European Conference on Networks and Communications,EuCNC,European Conference on Networks and Communications,Qualis 2017-2020|SBC CE-2024,Recommended,NcKP0_ggixQJ.2023,eucnc,,2025.0
CompID900409,EUMAS,European Conference on Multi-Agent Systems,,,Qualis 2017-2020,,,,,2025.0
CompID900410,EURO,European Conference on Operational Research,,,Qualis 2017-2020,,,,,2025.0
CompID900411,EUROCOMB,"European Conference on Combinatorics, Graph Theory and Applications",EUROCOMB,"European Conference on Combinatorics, Graph Theory and Applications",Qualis 2017-2020|SBC CE-2024,Top20,wn0aYglh-KMJ.2018,,,2025.0
CompID900412,EUROCRYPT,International Conference on Theory and Applications of Cryptographic Techniques,EUROCRYPT,International Conference on Theory and Applications of Cryptographic Techniques,Qualis 2017-2020|SBC CE-2024,Top10,fsZsNTm7Eh8J.2024,eurocrypt,,2025.0
CompID900413,EUROGRAPHICS,European Association for Computer Graphics,,,Qualis 2017-2020,,,,,2025.0
CompID900414,EUROHAPTICS,Eurohaptics,EuroHaptics|Eurohaptics,EuroHaptics|Eurohaptics,Qualis 2017-2020|SBC CE-2024,Top20,,,,2025.0
CompID900415,EuroMPI,European MPI Users Group Meeting,EuroMPI,European MPI Users Group Meeting,Qualis 2017-2020|SBC CE-2024,Recommended,eVYF6giBmnoJ.2018,pvm,,2025.0
CompID900416,EUROPAR,European Conference on Parallel Computing,EUROPAR,European Conference on Parallel Computing,Qualis 2017-2020|SBC CE-2024,Top20,tOMY2Y_aVTMJ.2023,europar,,2025.0
CompID900417,EuroPloP,European Conference on Pattern Languages of Programs,EUROPLOP,European Conference on Pattern Languages of Programs,Qualis 2017-2020|SBC CE-2024,Recommended,,,,2025.0
CompID900418,EuroSPI,European Conference on Software Process Improvement,EuroSPI,Conference on European System & Software Process Improvement and Innovation (EuroSPI)|European Conference on Software Process Improvement,Qualis 2017-2020|SBC CE-2024,Recommended,NIvUXCf10OgJ.2024,eurospi,,2025.0
CompID900419,EUROSYS,European Conference on Computer Systems,EUROSYS|EuroSys,ACM European Conference on Computer Systems|European Conference on Computer Systems,Qualis 2017-2020|SBC CE-2024,Top10,8LhhnAnPYO8J.2023,eurosys,,2025.0
CompID900420,EuroVis,EG/VGTC Conference on Visualization,EuroVis,EG/VGTC Conference on Visualization,Qualis 2017-2020|SBC CE-2024,Top10,,vissym,,2025.0
CompID900421,EUSFLAT,Conference of the European Society for Fuzzy Logic and Technology,,,Qualis 2017-2020,,,,,2025.0
CompID900422,EUSIPCO,European Signal Processing Conference,EUSIPCO,European Signal Processing Conference,Qualis 2017-2020|SBC CE-2024,Recommended,oJ-ZYoNCyCQJ.2024,eusipco,,2025.0
CompID900423,EVOAPPLICATIONS,European Conference on the Applications of Evolutionary Computation,,,Qualis 2017-2020,,,,,2025.0
CompID900424,EVOCOP,European Conference on Evolutionary Computation in Combinatorial Optimization,,,Qualis 2017-2020,,,,,2025.0
CompID900425,EWC,Embedded Word Conference,,,Qualis 2017-2020,,,,,2025.0
CompID900426,EWSDN,European Workshop on Software Defined Networks,EWSDN,European Workshop on Software Defined Networks,Qualis 2017-2020|SBC CE-2024,Recommended,,ewsdn,,2025.0
CompID900427,EWSN,European Conference on Wireless Sensor Networks,EWSN,European Conference on Wireless Sensor Networks|International Conference on Embedded Wireless Systems and Networks,Qualis 2017-2020|SBC CE-2024,Recommended,sTp_oa_iyPIJ.2024,ewsn,,2025.0
CompID900428,EXP.AT,Experiment@ International Conference,,,Qualis 2017-2020,,,,,2025.0
CompID900429,FACS,International Conference on Formal Aspects of Component Software,FACS,International Conference on Formal Aspects of Component Software,Qualis 2017-2020|SBC CE-2024,Top20,1wsH4YLiPpcJ.2019,,,2025.0
CompID900430,FASE,International Conference on Fundamental Approaches to Software Engineering,FASE,Fundamental Approaches to Software Engineering|International Conference on Fundamental Approaches to Software Engineering,Qualis 2017-2020|SBC CE-2024,Top10,KaKG4ZSdHz4J.2019,,,2025.0
CompID900431,FAST,USENIX Conference on File and Storage Technologies,FAST,Conference on File and Storage Technologies (FAST)|USENIX Conference on File and Storage Technologies,Qualis 2017-2020|SBC CE-2024,Recommended,,fast,,2025.0
CompID900432,FC,International Conference on Financial Cryptography and Data Security,FC,International Conference on Financial Cryptography and Data Security,Qualis 2017-2020|SBC CE-2024,Top10,gVeDacK3aQwJ.2024,fc,,2025.0
CompID900433,FCCM,IEEE Annual International Symposium on Field-Programmable Custom Computing Machines,FCCM,IEEE Annual Symposium on Field-Programmable Custom Computing Machines|IEEE International Symposium on Field-Programmable Custom Computing Machines|IEEE Symposium on Field-Programmable Custom Computing Machines,Qualis 2017-2020|SBC CE-2024,Top20,uLGTNGzfRS0J.2024,fccm,,2025.0
CompID900434,FCT,International Symposium on Fundamentals of Computation Theory,FCT,International Symposium on Fundamentals of Computation Theory,Qualis 2017-2020|SBC CE-2024,Recommended,,fct,,2025.0
CompID900435,FCTA,International Conference on Fuzzy Computation Theory and Applications,,,Qualis 2017-2020,,,,,2025.0
CompID900436,FDG,Foundations of Digital Games,FDG,International Conference on the Foundations of Digital Games,Qualis 2017-2020|SBC CE-2024,Top10,,fdg,,2025.0
CompID900437,FDL,Forum on Specification and Design Languages,FDL,Forum on Specification and Design Languages,Qualis 2017-2020|SBC CE-2024,Recommended,,fdl,,2025.0
CompID900438,FECS,International Conference on Frontiers in Education: Computer Science and Computer Engineering,,,Qualis 2017-2020,,,,,2025.0
CompID900439,FEDCSIS,Federated Conference on Computer Science and Information Systems,FEDCSIS,Federated Conference on Computer Science and Information Systems,Qualis 2017-2020|SBC CE-2024,Recommended,PHUeOJr2y-EJ.2024,fedcsis,,2025.0
CompID900440,FGR,IEEE International Conference on Automatic Face and Gesture Recognition,,,Qualis 2017-2020,,,,,2025.0
CompID900441,FiCloud,International Conference on Future Internet of Things and Cloud,FiCloud,International Conference on Future Internet of Things and Cloud,Qualis 2017-2020|SBC CE-2024,Recommended,qesER2iEwMYJ.2023,ficloud,,2025.0
CompID900442,FIE,IEEE Frontiers in Education Conference,FIE,Frontiers in Education Conference|IEEE Frontiers in Education Conference,Qualis 2017-2020|SBC CE-2024,Top10,G1RhimMOm2wJ.2024,fie,,2025.0
CompID900443,FIT,International Conference on Forntiers of Information Technology,,,Qualis 2017-2020,,,,,2025.0
CompID900444,FLAIRS,International Florida Artificial Intelligence Conference,,,Qualis 2017-2020,,,,,2025.0
CompID900445,FLOPS,International Symposium on Functional and Logic Programming,FLOPS,International Symposium on Functional and Logic Programming,Qualis 2017-2020|SBC CE-2024,Top20,,flops,,2025.0
CompID900446,FM,International Symposium on Formal Methods,FM,Formal Methods,Qualis 2017-2020|SBC CE-2024,Top10,mvAUTVUvOS0J.2019,,,2025.0
CompID900447,FMCAD,International Conference on Formal Methods in Computer-Aided Design,FMCAD,International Conference on Formal Methods in Computer-Aided Design,Qualis 2017-2020|SBC CE-2024,Top10,s5Z0Q8BPlvwJ.2019,,,2025.0
CompID900448,FOCS,IEEE Annual Symposium on Foundations of Computer Science,FOCS,IEEE Annual Symposium on Foundations of Computer Science,Qualis 2017-2020|SBC CE-2024,Top10,QUcbc1kDDcEJ.2024,focs,IEEE,2025.0
CompID900449,FOIS,International Conference on Formal Ontology in Information Systems,FOIS,Formal Ontology in Information Systems|International Conference on Formal Ontology in Information Systems,Qualis 2017-2020|SBC CE-2024,Recommended,,fois,,2025.0
CompID900450,FormaliSE,International Conference on Formal Methods in Software Engineering,,,Qualis 2017-2020,,,,,2025.0
CompID900451,FOSD,International Workshop on Feature-Oriented Software Development,,,Qualis 2017-2020,,,,,2025.0
CompID900452,FoSSaCS,International Conference on Foundations of Software Science and Computation Structures,FoSSaCS,International Conference on Foundations of Software Science and Computation Structures,Qualis 2017-2020|SBC CE-2024,Top10,q-MXMv7GdwAJ.2024,fossacs,,2025.0
CompID900453,FPGA,Symposium on Field Programmable Gate Arrays,FPGA|ISFPGA,ACM/SIGDA International Symposium on Field Programmable Gate Arrays|ACM/SIGDA International Symposium on Field-Programmable Gate Arrays|International Symposium on Field Programmable Gate Arrays|Symposium on Field Programmable Gate Arrays,Qualis 2017-2020|SBC CE-2024,Top10,X39h_ye2QL4J.2024,fpga,,2025.0
CompID900454,FPL,International Conference on Field-Programmable Logic and Applications,FPL,International Conference on Field Programmable Logic and Applications|International Conference on Field-Programmable Logic and Applications,Qualis 2017-2020|SBC CE-2024,Top10,7JfwVbgjkZUJ.2024,fpl,,2025.0
CompID900455,FPT,IEEE International Conference on Field-Programmable Technology,FPT,International Conference on Field-Programmable Technology,Qualis 2017-2020|SBC CE-2024,Recommended,WIezXfeOQkEJ.2024,fpt,,2025.0
CompID900456,FROCOS,International Symposium on Frontiers of Combining Systems,FROCOS,International Symposium on Frontiers of Combining System,Qualis 2017-2020|SBC CE-2024,Top20,,frocos,,2025.0
CompID900457,FSCD,International Conference on Formal Structures for Computation and Deduction,FSCD,International Conference on Formal Structures for Computation and Deduction,Qualis 2017-2020|SBC CE-2024,Top10,,fscd,,2025.0
CompID900458,FSE,Fast Software Encryption,FSE,Fast Software Encryption,Qualis 2017-2020|SBC CE-2024,Recommended,u0EMblNmhEoJ.2018,fse,,2025.0
CompID900459,FSE,ACM International Conference on the Foundations of Software Engineering (FSE) ,FSE|FSE/ESEC|FSE/ESEC,ACM International Conference on the Foundations of Software Engineering (FSE) |ACM SIGSOFT International Symposium on Foundations of Software Engineering|Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering|Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering,Qualis 2017-2020|SBC CE-2024,Top10,u0EMblNmhEoJ.2018,fse,,2025.0
CompID900460,FSEN,International Conference on Fundamentals of Software Engineering,,,Qualis 2017-2020,,,,,2025.0
CompID900461,FSR,Conference on Field and Service Robotics,FSR,Conference on Field and Service Robotics,Qualis 2017-2020|SBC CE-2024,Recommended,,,,2025.0
CompID900462,FTC,Future Technologies Conference,,,Qualis 2017-2020,,,,,2025.0
CompID900463,FUN,International Conference on Fun with Algorithms,FUN,International Conference on Fun with Algorithms,Qualis 2017-2020|SBC CE-2024,Recommended,,fun,,2025.0
CompID900464,FUSION,International Conference on Information Fusion,FUSION,International Conference on Information Fusion,Qualis 2017-2020|SBC CE-2024,Recommended,eAoE06EVARcJ.2020,,,2025.0
CompID900465,FUZZ,IEEE International Conference on Fuzzy Systems,FUZZ,IEEE International Conference on Fuzzy Systems|IEEE International Conference on Fuzzy Systems (FUZZ),Qualis 2017-2020|SBC CE-2024,Top10,sateOX2Ni50J.2024,fuzzIEEE,,2025.0
CompID900466,GameSec,Conference on Decision and Game Theory for Security,,,Qualis 2017-2020,,,,,2025.0
CompID900467,GAS,International Workshop on Games and Software Engineering,GAS,International Workshop on Games and Software Engineering ,Qualis 2017-2020|SBC CE-2024,Top20,,icse-gas,,2025.0
CompID900468,GbRPR,International Workshop on Graph-Based Representations in Pattern Recognition,,,Qualis 2017-2020,,,,,2025.0
CompID900469,GECCO,Genetic and Evolutionary Computation Conference,GECCO,Conference on Genetic and Evolutionary Computation,Qualis 2017-2020|SBC CE-2024,Top10,pQVER_ii7sMJ.2024,gecco,,2025.0
CompID900470,GECON,"International Conference on Economics of Grids, Clouds, Systems and Services",,,Qualis 2017-2020,,,,,2025.0
CompID900471,GEFI,Global Experimentation for Future Internet,,,Qualis 2017-2020,,,,,2025.0
CompID900472,GEM,"IEEE Games, Entertainment, Media Conference",GEM,"IEEE Games, Entertainment, Media Conference",Qualis 2017-2020|SBC CE-2024,Top20,,gamesem,,2025.0
CompID900473,GeoAI,International Workshop on AI for Geographic Knowledge Discovery,GeoAI,International Workshop on AI for Geographic Knowledge Discovery,Qualis 2017-2020|SBC CE-2024,Recommended,,geoai,,2025.0
CompID900474,GEOBIA,Geographic Object-based Image Analysis,GEOBIA,Geographic Object-based Image Analysis (GEOBIA),Qualis 2017-2020|SBC CE-2024,Top20,,,,2025.0
CompID900475,GEOINFO,Brazilian Symposium on GeoInformatics,GEOINFO|GeoInfo,Brazilian Symposium on Geoinformatics|Simpósio Brasileiro de Geoinformática,Qualis 2017-2020|SBC CE-2024,Top10,,geoinfo,,2025.0
CompID900476,GeoPROCESSING-IARIA,"IARIA International Conference on Advanced Geographic Information Systems, Applications, and Services",,,Qualis 2017-2020,,,,,2025.0
CompID900477,GeoSim,International Workshop on Geospatial Simulation,GeoSim,International Workshop on Geospatial Simulation,Qualis 2017-2020|SBC CE-2024,Recommended,,geosim,,2025.0
CompID900478,GI,Graphics Interface Conference,GI,Graphics Interface|Graphics Interface Conference,Qualis 2017-2020|SBC CE-2024,Top20,,graphicsinterface,,2025.0
CompID900479,GIIS,Global Information Infrastructure and Networking Symposium,,,Qualis 2017-2020,,,,,2025.0
CompID900480,GIR,Workshop on Geographic Information Retrieval,GIR,Workshop on Geographic Information Retrieval,Qualis 2017-2020|SBC CE-2024,Top20,,gir,,2025.0
CompID900481,GIScience,International Conference on Geographic Information Science,GIScience,International Conference on Geographic Information Science,Qualis 2017-2020|SBC CE-2024,Top10,_va3nqyJpWMJ.2024,giscience,,2025.0
CompID900482,GLOBALSIP,Global Conference on Signal and Information Processing,,,Qualis 2017-2020,,,,,2025.0
CompID900483,GLOBECOM,IEEE Global Communications Conference,GLOBECOM,IEEE Global Communications Conference,Qualis 2017-2020|SBC CE-2024,Top10,pZS97tVVUCgJ.2023,globecom,,2025.0
CompID900484,GLSVLSI,Great Lakes Symposium on VLSI,GLSVLSI,Great Lakes Symposium on VLSI,Qualis 2017-2020|SBC CE-2024,Recommended,pmoNNwZxCvUJ.2024,glvlsi,,2025.0
CompID900485,GPC,International Conference on Grid And Pervasive Computing,,,Qualis 2017-2020,,,,,2025.0
CompID900486,GPCE,ACM International Conference on Generative Programming: Concepts and Experiences,GPCE,ACM International Conference on Generative Programming: Concepts and Experiences|Generative Programming: Concepts and Experiences,Qualis 2017-2020|SBC CE-2024,Top20,,gpce,,2025.0
CompID900487,GRAPP,International Conference on Computer Graphics Theory and Applications,GRAPP,International Conference on Computer Graphics Theory and Applications,Qualis 2017-2020|SBC CE-2024,Top20,ulaSNA5ZgjEJ.2024,grapp,,2025.0
CompID900488,GreenCom,IEEE International Conference on Green Computing and Communications,GreenCom,IEEE International Conference on Green Computing and Communications,Qualis 2017-2020|SBC CE-2024,Recommended,,greencom,,2025.0
CompID900489,GROUP,International Conference on Supporting Group Work,GROUP,GROUP - International Conference on Supporting Group Work,Qualis 2017-2020|SBC CE-2024,Top10,,,,2025.0
CompID900490,GVIZ,Workshop on New Directions in Geovisual Analytics,GVIZ,Workshop on New Directions in Geovisual Analytics,Qualis 2017-2020|SBC CE-2024,Recommended,,,,2025.0
CompID900491,GWN,International Global Wordnet Conference,,,Qualis 2017-2020,,,,,2025.0
CompID900492,HAIS,International Conference on Hybrid Artificial Intelligence Systems,,,Qualis 2017-2020,,,,,2025.0
CompID900493,HAPTICS,IEEE Haptics Symposium,HAPTICS,Conference and Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems|IEEE Haptics Symposium|IEEE Haptics Symposium |World Haptics Conference (WHC),Qualis 2017-2020|SBC CE-2024,Top10,,haptics,,2025.0
CompID900494,HASE,IEEE International Symposium on High Assurance Systems Engineering,HASE,IEEE High Assurance Systems Engineering Symposium,Qualis 2017-2020|SBC CE-2024,Top20,EhHHXze7CIMJ.2021,hase,,2025.0
CompID900495,HCOMP,AAAI Conference on Human Computation and Crowdsourcing,HCOMP,AAAI Conference on Human Computation & Crowdsourcing|AAAI Conference on Human Computation and Crowdsourcing|Conference on Human Computation and Crowdsourcing,Qualis 2017-2020|SBC CE-2024,Top20,,hcomp,,2025.0
CompID900496,HCSE,International Conference on Human-Centered Software Engineering,HCSE,International Working Conference on Human-Centered Software Engineering,Qualis 2017-2020|SBC CE-2024,Recommended,,hcse,,2025.0
