sigla,titulo,h5
IPMU,International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems,16.0
IRC,IEEE International Conference on Robotic Computing,16.0
IRI,IEEE International Conference on Information Reuse and Integration,22.0
IROS,IEEE/RSJ International Conference on Intelligent Robots and Systems,92.0
ISAAC,International Symposium on Algorithms and Computation,17.0
ISAmI,International Symposium on Ambient Intelligence,11.0
ISBI,IEEE International Symposium on Biomedical Imaging: From Nano to Macro,52.0
ISC,International Conference on Supercomputing (ICS),25.0
ISCA,International Symposium on Computer Architecture (ISCA),64.0
ISCC,"International Symposium on Networks, Computers and Communications",23.0
ISCRAM,International Conference on Information Systems for Crisis Response and Management,16.0
ISD,International Conference on Information Systems Development,9.0
ISDA,International Conference on Intelligent Systems Design and Applications,16.0
ISECON,IEEE International Conference on Information Systems and Computer Aided Education,15.0
ISER,International Symposium on Experimental Robotics,12.0
ISGT,IEEE PES Innovative Smart Grid Technologies (ISGT),26.0
ISGT-Europe,IEEE PES Innovative Smart Grid Technologies Conference Europe,22.0
ISGT-LA,IEEE PES Innovative Smart Grid Technologies Conference Latin America,10.0
ISI,IEEE International Conference on Intelligence and Security Informatics,17.0
ISIE,IEEE International Symposium on Industrial Electronics,24.0
ISLPED,ACM/IEEE International Symposium on Low Power Electronics and Design,19.0
ISMAR,IEEE International Symposium on Mixed and Augmented Reality,37.0
ISMIR,International Society for Music Information Retrieval Conference,42.0
ISMR,International Symposium on Medical Robotics,16.0
ISMVL,IEEE International Symposium on Multiple-Valued Logic (ISMVL),13.0
ISOLA,"International Symposium On Leveraging Applications of Formal Methods, Verification and Validation",22.0
ISORC,IEEE International Symposium on Object Oriented Real-Time Distributed Computing,12.0
ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,24.0
ISPDC,International Symposium on Parallel and Distributed Computing,8.0
ISQED,International Symposium on Quality Electronic Design,22.0
ISSCC,IEEE International Solid-State Circuits Conference,72.0
ISSTA,International Symposium on Software Testing and Analysis,50.0
ISVC,International Symposium on Visual Computing,18.0
ISVLSI,IEEE Computer Society Annual Symposium on VLSI,23.0
ISWCS,International Symposium on Wireless Communication Systems,15.0
ITCS,Conference on Innovations in Theoretical Computer Science,37.0
ITHET,International Conference on Information Technology Based Higher Education and Training,8.0
ITICSE,Joint Conference on Innovation and Technology in Computer Science Education,38.0
ITNG,International Conference on Information Technology-New Generations,12.0
ITP,International Conference on Interactive Theorem Proving,15.0
IUI,International Conference on Intelligent User Interfaces (IUI),50.0
IV,International Conference on Information Visualization,15.0
IWANN,International Work-Conference on Artificial and Natural Neural Networks (IWANN),10.0
IWBBIO,International Work-Conference on Bioinformatics and Biomedical Engineering (IWBBIO),13.0
IWBF,International Workshop on Biometrics and Forensics,17.0
IWCMC,International Wireless Communications and Mobile Computing Conference (IWCMC),29.0
IWOCA,International Workshop on Combinatorial Algorithms,11.0
IWSSIP,"International Conference on Systems, Signals and Image Processing",16.0
JCDL,International ACM/IEEE Joint Conference on Digital Libraries,23.0
JURIX,International Conference on Legal Knowledge and Information Systems (JURIX),18.0
KDIR,International Conference on Knowledge Discovery and Information Retrieval (KDIR),10.0
KDMILE,"Symposium on Knowledge Discovery, Mining and Learning (KDMiLe)",8.0
L@S,ACM Conference on Learning at Scale,28.0
LA-CCI,IEEE Latin American Conference on Computational Intelligence,8.0
LADC,Latin-American Symposium on Dependable Computing,7.0
LAGIRS,IEEE Latin American GRSS & ISPRS Remote Sensing Conference,14.0
LASCAS,IEEE Latin American Symposium on Circuits and Systems (LASCAS),15.0
LATINOWARE,Congresso Latino-Americano de Software Livre e Tecnologias Abertas (Latinoware),3.0
LATS,IEEE Latin American Test Symposium (LATS),8.0
LMCS,Logical Methods in Computer Science,28.0
LREC,International Conference on Language Resources and Evaluation (LREC),68.0
MASS,IEEE International Conference on Mobile Adhoc and Sensor Systems (MASS),21.0
MCPR2,Mexican Conference on Pattern Recognition,9.0
MCSoC,International Symposium on Embedded Multicore/Many-core Systems-on-Chip,10.0
MED,Mediterranean Conference on Control and Automation,19.0
MedComNet,Mediterranean Communication and Computer Networking Conference,16.0
MEMSYS,International Symposium on Memory Systems,10.0
MESA,IEEE/ASME International Conference on Mechatronic and Embedded Systems and Applications,8.0
MFI,IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems,17.0
MICAI,Mexican International Conference on Artificial Intelligence (MICAI),13.0
MICRO,IEEE/ACM International Symposium on Microarchitecture,58.0
MIDDLEWARE,International Middleware Conference,24.0
MILCOM,IEEE Military Communications Conference,19.0
MLSP,IEEE International Workshop on Machine Learning for Signal Processing,22.0
MMAR,International Conference on Methods and Models in Automation and Robotics,8.0
MMSYS,ACM Multimedia Systems Conference (MMSys),27.0
MOBIHOC,ACM International Symposium on Mobile Ad Hoc Networking and Computing,22.0
MOBIQUITOUS,"EAI International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",14.0
MobiSys,"Annual International Conference on Mobile Systems, Applications and Services",40.0
MOCO,International Conference on Movement and Computing,11.0
MODELSWARD,International Conference on Model-Driven Engineering and Software Development,14.0
MSN,International Conference on Mobile Ad-hoc and Sensor Networks,19.0
MSWIM,"ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",18.0
MWSCAS,IEEE International Midwest Symposium on Circuits and Systems (MWSCAS),20.0
NAFIPS,Annual Conference of the North American Fuzzy Information Processing Society,7.0
NCA,IEEE International Symposium on Network Computing and Applications,15.0
NDSS,Network and Distributed System Security Symposium (NDSS),72.0
NESY@HLAI,International Workshop on Neural-Symbolic Learning and Reasoning,16.0
NETWORKING,IFIP Networking Conference,26.0
NeurIPS,Neural Information Processing Systems,371.0
NFV-SDN,IEEE Conference on Network Function Virtualization and Software Defined Networks,17.0
NOF,International Conference on Network of the Future,12.0
NOMS,IEEE/IFIP Network Operations and Management Symposium,33.0
NORCAS,Nordic Circuits and Systems Conference (NORCAS),10.0
NSDI,USENIX Symposium on Networked Systems Design and Implementation,71.0
ONDM,International Conference on Optical Network Design and Modeling,18.0
OPODIS,International Conference On Principles Of DIstributed Systems,19.0
OR,International Conference on Operations Research,6.0
OSS,International Conference on Open Source Systems and Technologies,12.0
